project_name,注塑,挤出或吹膜,涂胶或上胶,涂布,复合或贴合,印刷,熟化或固化,evidence_source
华硕（广东）新材料股份有限公司新建项目,1,1,1,1,1,1,1,年1月22日建设项目环境影响报告表受理公告（佛山市生态环境局顺德分局）_1.pdf
佛山汇诚科技有限公司新建项目,1,0,0,1,1,1,1,年1月22日建设项目环境影响报告表受理公告（佛山市生态环境局顺德分局）_2.pdf
佛山市景素科科技有限公司建设项目,1,1,0,0,0,0,1,年1月23日建设项目环境影响报告受理公告（大良）.pdf
佛山市智鑫塑胶制品有限公司迁扩建项目,1,1,0,0,1,1,0,年1月2日建设项目环境影响报告表受理公告（佛山市生态环境局顺德分局）_1.pdf
佛山市玖心日用品有限公司新建项目,1,1,0,0,0,1,1,年1月2日建设项目环境影响报告表受理公告（佛山市生态环境局顺德分局）_2.pdf
佛山市靓禾厨卫用品有限公司新建项目,1,1,0,0,0,0,0,年1月3日建设项目环境影响报告受理公告（容桂）.pdf
万业诚新材料（佛山）有限公司迁建项目,0,1,1,0,1,1,0,年1月5日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）.pdf
广东顺德顺炎新材料股份有限公司年产改性塑料粒 6 万吨迁扩建项目,1,1,0,1,0,1,0,年2月22日建设项目环境影响报告表受理公告（佛山市生态环境局顺德分局）_2.pdf
佛山市顺德区耀顺欣模具厂新建项目,1,1,0,0,1,0,1,年2月27日建设项目环境影响报告受理公告（容桂）.pdf
佛山市至贤科技有限公司新建项目,1,0,0,0,0,1,1,年3月15日建设项目环境影响报告受理公告（大良）.pdf
佛山市安邵塑胶制品有限公司新建项目,1,1,0,0,0,0,0,年3月19日建设项目环境影响报告表受理公告（佛山市生态环境局顺德分局）_1.pdf
佛山市思莱拓科技有限公司新建项目,1,1,0,0,0,0,1,年3月5日建设项目环境影响报告受理公告（大良）.pdf
佛山市昊芸照明有限公司新建项目,1,1,0,0,0,0,1,年4月17日建设项目环境影响报告书（表）受理公告（均安）.pdf
佛山市友帝塑料制品有限公司扩建项目,1,1,0,0,0,0,1,年4月29日建设项目环境影响报告受理公告（大良）_1.pdf
佛山市优塑包装科技有限公司新建项目,1,1,0,0,0,0,1,年4月29日建设项目环境影响报告受理公告（大良）_2.pdf
佛山市顺德区德盈誉智能制造有限公司新建项目,1,1,0,0,0,0,0,年5月29日建设项目环境影响报告受理公告（大良）.pdf
广东圣鑫机电股份有限公司扩建项目,1,1,0,0,1,1,0,年6月18日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）.pdf
佛山市顺德区保塑管业有限公司迁扩建项目,1,1,0,0,0,1,0,年6月19日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_2.pdf
佛山市顺德区康明新材料厂新建项目,1,1,1,1,0,1,0,年6月19日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_5.pdf
佛山市顺德区中润基誉新材料科技有限公司新建项目,1,1,1,0,0,1,0,年6月19日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_7.pdf
广东周杨科电器有限公司迁扩建项目,1,1,0,0,0,0,0,年6月20日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_1.pdf
佛山市科镁电器科技有限公司新建项目,1,1,0,0,0,1,1,年6月20日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_2.pdf
佛山市安邵塑胶制品有限公司新建项目,1,1,0,0,0,0,0,年6月20日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_3.pdf
佛山市优力塑电器有限公司新建项目,1,1,0,0,0,1,1,年6月24日建设项目环境影响报告表受理公告（容桂）_4.pdf
佛山市永佳奕科技有限公司扩建项目,1,1,0,0,1,0,1,年6月3日建设项目环境影响报告受理公告（大良）_1.pdf
佛山市凌锴源模具科技有限公司迁扩建项目,1,1,0,0,0,0,1,年6月3日建设项目环境影响报告受理公告（大良）_2.pdf
佛山市集北龙华海绵制造股份有限公司搬迁扩建项目,0,1,0,0,0,1,1,年6月7日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_2.pdf
佛山市新得雅科技有限责任公司新建项目,1,1,1,1,1,1,1,年6月7日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_4.pdf
佛山市丰友享家具配件实业有限公司迁扩建项目,1,1,0,0,0,1,0,年7月10日建设项目环境影响报告书（表）受理公告（均安）_3.pdf
佛山市京耘科技有限公司新建项目,1,1,0,0,0,1,0,年7月10日建设项目环境影响报告受理公告（大良）_1.pdf
高晖（佛山）新材料科技有限公司新建项目,0,1,0,0,0,1,1,年7月10日建设项目环境影响报告受理公告（大良）_2.pdf
佛山市顺德区共诺电子元件厂搬迁项目,1,1,0,0,0,1,0,年7月12日建设项目环境影响报告受理公告（大良）.pdf
佛山市顺佳利智能科技有限公司扩建项目（重新报批）,1,1,0,0,0,0,1,年7月12日建设项目环境影响报告表受理公告（伦教）_1.pdf
佛山市天日塑料科技有限公司迁扩建项目,1,1,0,0,0,1,0,年7月12日建设项目环境影响报告表受理公告（伦教）_2.pdf
佛山市顺德区福晟鑫塑料制品有限公司迁扩建项目,1,1,1,0,1,1,1,年7月18日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_1.pdf
佛山市顺德区谦和丰塑料制品厂新建项目,1,1,0,0,0,1,1,年7月18日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_11.pdf
华硕（广东）新材料股份有限公司建设项目,1,1,1,1,1,1,1,年7月18日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_3.pdf
佛山市顺德区谦迅盛塑料制品厂新建项目,1,1,0,0,0,1,1,年7月18日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_9.pdf
佛山赫昶塑胶制品有限公司新建项目,1,1,0,0,0,0,0,年7月1日建设项目环境影响报告表受理公告（容桂）_1.pdf
佛山市东来晟塑料制品有限公司新建项目,1,1,0,0,0,0,0,年7月1日建设项目环境影响报告表受理公告（容桂）_2.pdf
佛山市宇纳电器科技有限公司迁扩建项目,1,0,0,0,1,0,1,年7月22日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_2.pdf
佛山市承帆新材料科技有限公司新建项目,1,1,0,0,0,0,0,年7月22日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_3.pdf
广东顺德铁夫汽车配件有限公司迁扩建项目,0,1,0,0,0,1,0,年7月24日建设项目环境影响报告书（表）受理公告（均安）_1.pdf
佛山市顺腾丰家具配件有限公司新建项目,1,1,0,0,0,1,0,年7月24日建设项目环境影响报告书（表）受理公告（均安）_4.pdf
广东顺德优线三维科技有限公司迁扩建项目,1,1,0,0,1,1,0,年7月24日建设项目环境影响报告受理公告（大良）.pdf
佛山市邦博恩智能科技有限公司新建项目,1,0,0,0,1,0,0,年7月24日建设项目环境影响报告表受理公告（容桂）_2.pdf
佛山市加合新材料有限公司新建项目,1,1,0,0,0,0,0,年7月24日建设项目环境影响报告表受理公告（容桂）_5.pdf
思邦自行车配件（佛山）有限公司改扩建项目,1,1,0,1,0,1,0,年7月25日建设项目环境影响报告受理公告（大良）_3.pdf
佛山市顺德区凯和电器有限公司迁扩建项目,1,1,0,0,0,0,0,年7月26日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_4.pdf
佛山志兴盈包装有限公司新建项目,1,1,0,1,1,1,1,年7月26日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_5.pdf
佛山市顺德区昶新塑料制品有限公司搬迁、扩建项目,0,1,0,1,1,1,1,年7月2日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_3.pdf
佛山市宇象汇科技有限公司建设项目,1,1,1,0,0,1,1,年7月2日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_4.pdf
广东创卓电器有限公司迁扩建项目,1,1,0,0,0,1,1,年7月2日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_7.pdf
佛山市顺德区湛宏塑料制品有限公司改扩建项目,1,1,0,0,1,1,1,年7月4日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_1.pdf
佛山市智枞电器制造有限公司扩建项目,1,1,0,0,1,0,0,年7月4日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_2.pdf
佛山创顺塑胶有限公司建设项目,1,1,0,0,0,0,1,年7月4日建设项目环境影响报告受理公告（大良）_2.pdf
佛山市顺德区天玛仕电子有限公司改扩建项目,1,1,0,0,1,1,0,年7月9日建设项目环境影响报告受理公告（大良）_2.pdf
佛山市昇汇包装材料有限公司新建项目,1,0,0,0,0,0,0,年8月12日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_1.pdf
佛山市洲友尚包装材料有限公司新建项目,0,1,0,0,1,1,0,年8月12日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_3.pdf
佛山万美塑料制品有限公司迁扩建项目,1,1,1,0,0,1,1,年8月14日建设项目环境影响报告受理公告（大良）_2.pdf
佛山市顺德区凯锦电器有限公司新建项目,1,1,0,0,0,0,0,年8月15日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_1.pdf
佛山市龙广塑料制品有限公司新建项目,1,1,0,0,0,1,0,年8月15日建设项目环境影响报告受理公告（大良）_1.pdf
佛山市特美仕电器有限公司迁扩建项目,1,1,0,0,1,0,0,年8月15日建设项目环境影响报告表受理公告（伦教）_2.pdf
佛山市广优顺品日用品有限公司新建项目,1,1,0,0,1,1,1,年8月15日建设项目环境影响报告表受理公告（伦教）_5.pdf
佛山市邸怡居家居有限公司新建项目,1,0,0,0,0,0,1,年8月23日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_1.pdf
佛山市创灏五金塑料有限公司年产塑料制品 1250 万件迁改扩建项目,1,1,1,0,0,1,1,年8月26日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_1.pdf
佛山市顺德区谦和丰塑料制品厂新建项目,1,1,0,0,0,1,1,年8月26日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_2.pdf
佛山市顺德区谦迅盛塑料制品厂新建项目,1,1,0,0,0,1,1,年8月26日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_5.pdf
广东顺德意达电子薄膜器件有限公司扩建项目,1,1,1,0,1,1,1,年8月30日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_1.pdf
佛山市加耐安塑料制品有限公司新建项目,1,1,0,0,0,1,0,年8月30日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_3.pdf
佛山市京耘科技有限公司新建项目,1,1,0,0,0,1,0,年8月30日建设项目环境影响报告受理公告（大良）.pdf
佛山市汇铭臻新材料科技有限公司新建项目,1,1,0,0,0,1,1,年8月8日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_2.pdf
佛山市千紫珏科技有限公司新建项目,1,1,0,1,0,1,1,年8月9日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_2.pdf
佛山市万朗磁塑制品有限公司顺德分公司新建项目,1,1,1,0,1,1,1,年8月9日建设项目环境影响报告表受理公告（容桂）_1.pdf
佛山市顺德区全华工艺饰品有限公司新建项目,1,1,0,0,0,0,0,年8月9日建设项目环境影响报告表受理公告（容桂）_2.pdf
佛山市顺德区大亚湾五金塑料有限公司新建项目,1,1,0,0,0,1,0,年9月10日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_3.pdf
佛山市浩创时代包装制品有限公司新建项目,1,1,0,1,1,1,1,年9月10日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_6.pdf
佛山江福英智能设备制造有限公司新建项目,1,1,0,0,1,0,1,年9月10日建设项目环境影响报告受理公告（大良）.pdf
佛山市顺德区德毅塑料有限公司新建项目,1,1,0,0,0,1,0,年9月12日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_2.pdf
佛山市顺德区派信誉塑料有限公司新建项目,1,1,0,0,0,1,1,年9月12日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_8.pdf
佛山市诗佳格科技有限公司新建项目,1,1,0,0,1,0,1,年9月12日建设项目环境影响报告受理公告（大良）_1.pdf
佛山市华泷彩科技有限公司新建项目,1,1,0,0,1,0,1,年9月12日建设项目环境影响报告受理公告（大良）_2.pdf
佛山市洲友尚包装材料有限公司新建项目,0,1,0,0,1,1,0,年9月14日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_5.pdf
佛山市坤琪玲塑料制品有限公司新建项目,1,1,1,0,0,1,0,年9月19日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_1.pdf
佛山市顺德区兴致盛塑料制品有限公司重新报批项目,1,1,0,0,0,1,1,年9月19日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_4.pdf
佛山市顺德区壹德包装印刷有限公司迁扩建项目,1,1,0,1,1,1,1,年9月20日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_3.pdf
广东东梓数码新材料有限公司建设项目,1,0,0,1,0,1,0,年9月25日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）.pdf
佛山市顺德区德盈誉智能制造有限公司新建项目,1,1,0,0,0,0,0,年9月25日建设项目环境影响报告受理公告（大良）_1.pdf
佛山市顺德区菱昌精密塑料五金实业有限公司新建项目,0,1,0,0,0,1,1,年9月25日建设项目环境影响报告受理公告（大良）_2.pdf
广东创卓电器有限公司迁扩建项目,1,1,0,0,0,1,1,年9月3日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_1.pdf
佛山市顺德区建德包装实业有限公司搬迁扩建项目,0,1,1,1,1,1,1,年9月4日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_1.pdf
浙江宏昌电器科技股份有限公司佛山分公司新建项目,1,1,0,0,1,1,1,年9月4日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_2.pdf
佛山市智枞电器制造有限公司扩建项目,1,1,0,0,1,0,0,年9月4日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_4.pdf
广东图特精密五金科技股份有限公司智能制造基地建设项目重新报,1,0,0,0,0,1,1,年9月6日建设项目环境影响报告书（表）受理公告（佛山市生态环境局顺德分局）_2.pdf
