sample_id,project_name,report_section,applicable_object,pollutant_or_item,standard_name,standard_code,applicable_clause_or_table,limit_or_requirement,original_text,suggested_workflow,note
S02,佛山市智鑫塑胶制品有限迁护建项目,表 4-10废气污染源环境监测计划一览表,废气,VOCs,固定污染源挥发性有机物综合排放标准,DB44/2367-2022,表4-10；表1,限值和广东省地方标准《固定污染源挥发性有机物综合排放标准》（DB44/2367-2022）中表1挥发性有机废气排放限值二者较严值,表 4-10废气污染源环境监测计划一览表 | 总 VOCs | 《印刷工业大气污染物排放标准》（GB41616-2022）表1中大气污染物排放限值和广东省地方标准《固定污染源挥发性有机物综合排放标准》（DB44/2367-2022）中表1挥发性有机废气排放限值二者较严值,8-污染物排放标准内容判断,报告原文重抽命中，但checked主库未匹配到等价条款，需人工复核
S02,佛山市智鑫塑胶制品有限迁护建项目,表 4-10废气污染源环境监测计划一览表,废气,臭气浓度,恶臭污染物排放标准,GB14554-93,表4-10；表2,浓度；标准值,表 4-10废气污染源环境监测计划一览表 | 臭气浓度 | 《恶臭污染物排放标准》（GB14554-93）中表2恶臭污染物排放标准值,8-污染物排放标准内容判断,报告原文重抽命中，但checked主库未匹配到等价条款，需人工复核
S02,佛山市智鑫塑胶制品有限迁护建项目,表 4-10废气污染源环境监测计划一览表,厂区内无组织废气,NMHC,固定污染源挥发性有机物综合排放标准,DB44/2367-2022,表4-10；附录A；表3,限值的较严值,表 4-10废气污染源环境监测计划一览表 | 3 | 厂区内 | NMHC | 《印刷工业大气污染物排放标准》（GB41616-2022）附录A厂区内无组织排放监控要求以及广东省地方标准《固定污染源挥发性有机物综合排放标准》（DB44/2367-2022）中表3厂区内VOCs无组织排放限值的较严值,8-污染物排放标准内容判断,报告原文重抽命中，但checked主库未匹配到等价条款，需人工复核
S02,佛山市智鑫塑胶制品有限迁护建项目,表 4-10废气污染源环境监测计划一览表,厂区内无组织废气,VOCs,固定污染源挥发性有机物综合排放标准,DB44/2367-2022,表4-10；附录A；表3,限值的较严值,表 4-10废气污染源环境监测计划一览表 | 3 | 厂区内 | NMHC | 《印刷工业大气污染物排放标准》（GB41616-2022）附录A厂区内无组织排放监控要求以及广东省地方标准《固定污染源挥发性有机物综合排放标准》（DB44/2367-2022）中表3厂区内VOCs无组织排放限值的较严值,8-污染物排放标准内容判断,报告原文重抽命中，但checked主库未匹配到等价条款，需人工复核
S02,佛山市智鑫塑胶制品有限迁护建项目,表 4-16营运期环境监测计划一览表,厂界废气/噪声,噪声,工业企业厂界环境噪声排放标准,GB12348-2008,表4-16,2类；60dB；50dB；≤60dB夜间≤50dB,表 4-16营运期环境监测计划一览表 | 厂界四面 | 昼 | 1次/季度 | 《工业企业厂界环境噪声排放标准》（GB12348-2008）中的2类标准 | 昼间≤60dB夜间≤50dB,8-污染物排放标准内容判断,报告原文重抽命中，但checked主库未匹配到等价条款，需人工复核
S02,佛山市智鑫塑胶制品有限迁护建项目,五、环境保护措施监督检查清单,废气,NMHC,固定污染源挥发性有机物综合排放标准,DB44/2367-2022,表1,限值和广东省地方标准《固定污染源挥发性有机物综合排放标准》（DB44/2367-2022）中表1挥发性有机废气排放限值二者较严值,## 五、环境保护措施监督检查清单 | 总VOCs按NMHC表示 | 《印刷工业大气污染物排放标准》（GB41616-2022）表1中大气污染物排放限值和广东省地方标准《固定污染源挥发性有机物综合排放标准》（DB44/2367-2022）中表1挥发性有机废气排放限值二者较严值,8-污染物排放标准内容判断,报告原文重抽命中，但checked主库未匹配到等价条款，需人工复核
S02,佛山市智鑫塑胶制品有限迁护建项目,五、环境保护措施监督检查清单,废气,VOCs,固定污染源挥发性有机物综合排放标准,DB44/2367-2022,表1,限值和广东省地方标准《固定污染源挥发性有机物综合排放标准》（DB44/2367-2022）中表1挥发性有机废气排放限值二者较严值,## 五、环境保护措施监督检查清单 | 总VOCs按NMHC表示 | 《印刷工业大气污染物排放标准》（GB41616-2022）表1中大气污染物排放限值和广东省地方标准《固定污染源挥发性有机物综合排放标准》（DB44/2367-2022）中表1挥发性有机废气排放限值二者较严值,8-污染物排放标准内容判断,报告原文重抽命中，但checked主库未匹配到等价条款，需人工复核
S02,佛山市智鑫塑胶制品有限迁护建项目,五、环境保护措施监督检查清单,厂区内无组织废气,VOCs,固定污染源挥发性有机物综合排放标准,DB44/2367-2022,附录A；表3,限值的较严值,## 五、环境保护措施监督检查清单 | 厂区内 | 非甲烷总烃 | / | 《印刷工业大气污染物排放标准》（GB41616-2022）附录A厂区内无组织排放监控要求以及广东省地方标准《固定污染源挥发性有机物综合排放标准》（DB44/2367-2022）中表3厂区内VOCs无组织排放限值的较严值,8-污染物排放标准内容判断,报告原文重抽命中，但checked主库未匹配到等价条款，需人工复核
S02,佛山市智鑫塑胶制品有限迁护建项目,五、环境保护措施监督检查清单,厂界废气/噪声,噪声,工业企业厂界环境噪声排放标准,GB12348-2008,,2类,## 五、环境保护措施监督检查清单 | 声环境 | 设备噪声 | 生产设备做减振处理，墙体隔音、距离衰减 | 《工业企业厂界环境噪声排放标准》（GB12348-2008）中的2类标准,8-污染物排放标准内容判断,报告原文重抽命中，但checked主库未匹配到等价条款，需人工复核
S03,佛城明塑料制品有限公司新建项目,三、区域环境质量现状、环境保护目标及评价标准,生活污水,环境质量执行标准,环境空气质量标准,GB3095-2012,,浓度超过了《环境空气质量标准》（GB3095-2012）二级标准限值，其他污染物均达标，故顺德区大气环境质量属不达标区；执行《地表水环境质量标准》（GB3838-2002）中的V类水质标准,根据2023年全区的大气环境质量状况公报，除 $\mathrm { { O } } _ { 3 }$ （臭氧）浓度超过了《环境空气质量标准》（GB3095-2012）二级标准限值，其他污染物均达标，故顺德区大气环境质量属不达标区。2、地表水项目生活污水经三级化粪处理后排入龙江污水处理厂处理，尾水排入龙江大涌。本项目所在地属于龙江污水处理厂的纳污范围，运营期间，本项目生活污水经三级化粪池处理后通过市政管网排入龙江污水处理厂处理，尾水排至龙江大涌。根据佛山市生态环境保护委员会办公室关于印发《佛山市“十四五”水环境质量排名办法的》的通知（佛环委办[2021]12号），龙江大涌为V类水质目标，水环境质量执行《地表水环境质量标准》（GB3838-2002）中的V类水质标准。为评价龙江大涌水质情况，项目引用广东增源检测技术有限公司枯水期对龙江大,6-环境质量现状数据引用是否有误,报告原文重抽命中，但checked主库未匹配到等价条款，需人工复核
S03,佛城明塑料制品有限公司新建项目,三、区域环境质量现状、环境保护目标及评价标准,生活污水,环境质量执行标准,地表水环境质量标准,GB3838-2002,,浓度超过了《环境空气质量标准》（GB3095-2012）二级标准限值，其他污染物均达标，故顺德区大气环境质量属不达标区；执行《地表水环境质量标准》（GB3838-2002）中的V类水质标准,根据2023年全区的大气环境质量状况公报，除 $\mathrm { { O } } _ { 3 }$ （臭氧）浓度超过了《环境空气质量标准》（GB3095-2012）二级标准限值，其他污染物均达标，故顺德区大气环境质量属不达标区。2、地表水项目生活污水经三级化粪处理后排入龙江污水处理厂处理，尾水排入龙江大涌。本项目所在地属于龙江污水处理厂的纳污范围，运营期间，本项目生活污水经三级化粪池处理后通过市政管网排入龙江污水处理厂处理，尾水排至龙江大涌。根据佛山市生态环境保护委员会办公室关于印发《佛山市“十四五”水环境质量排名办法的》的通知（佛环委办[2021]12号），龙江大涌为V类水质目标，水环境质量执行《地表水环境质量标准》（GB3838-2002）中的V类水质标准。为评价龙江大涌水质情况，项目引用广东增源检测技术有限公司枯水期对龙江大,6-环境质量现状数据引用是否有误,报告原文重抽命中，但checked主库未匹配到等价条款，需人工复核
S03,佛城明塑料制品有限公司新建项目,四、主要环境影响和保护措施,有组织废气/排气筒,非甲烷总烃,合成树脂工业污染物排放标准,GB31572-2015,表4-3,表4-3项目废气监测方案 | 有组织 | 排气筒DA001 | 非甲烷总烃 | 1次/半年 | 《合成树脂工业污染物排放标准》（GB31572-2015，含2024年修改单）,表4-3项目废气监测方案 | 有组织 | 排气筒DA001 | 非甲烷总烃 | 1次/半年 | 《合成树脂工业污染物排放标准》（GB31572-2015，含2024年修改单）,8-污染物排放标准内容判断,报告原文重抽命中，但checked主库未匹配到等价条款，需人工复核
S03,佛城明塑料制品有限公司新建项目,五、环境保护措施监督检查清单,厂区内无组织废气,NMHC,固定污染源挥发性有机物综合排放标准,DB44/2367-2022,表3；附录A,6m；20mg/m3；限值和《挥发性有机物无组织排放控制标准》（GB37822—2019）的附录A特别排放限值的较严值标准（监控点处1h平均浓度值≤6mg/m，监控点处任意一次浓度值≤20mg/m3）,## 五、环境保护措施监督检查清单 | 厂区内 | 厂区内 | NMHC | 加强车间通风 | 《固定污染源挥发性有机物综合排放标准》（DB442367-2022）表3规定的限值和《挥发性有机物无组织排放控制标准》（GB37822—2019）的附录A特别排放限值的较严值标准（监控点处1h平均浓度值≤6mg/m，监控点处任意一次浓度值≤20mg/m3）。,8-污染物排放标准内容判断,报告原文重抽命中，但checked主库未匹配到等价条款，需人工复核
S03,佛城明塑料制品有限公司新建项目,三、区域环境质量现状、环境保护目标及评价标准,地表水环境质量,环境质量执行标准,地表水环境质量标准,GB3838-2002,,达到《地表水环境质量标准》（GB3838-2002）之V类标准,根据龙江大涌监测数据可知，龙江大涌各监测断面的所有检测指标均可达到《地表水环境质量标准》（GB3838-2002）之V类标准。,7-环境质量执行标准准确性判断,报告原文重抽命中，但checked主库未匹配到等价条款，需人工复核
S03,佛城明塑料制品有限公司新建项目,4、固体废物污染控制标准,危险废物贮存/管理,危险废物,危险废物贮存污染控制标准,GB18597-2023,,执行《国家危险废物名录》（2021年版）、《危险废物贮存污染控制标准》（GB18597-2023）、《危险废物识别标志设置技术规范》（HJ1276-2022）、《危险废物收集贮存运输技术规范》（HJ2025-2012），危险废物暂存于危险废物暂存间，暂存间应满足防渗漏、防雨淋、防扬尘,危险废物执行《国家危险废物名录》（2021年版）、《危险废物贮存污染控制标准》（GB18597-2023）、《危险废物识别标志设置技术规范》（HJ1276-2022）、《危险废物收集贮存运输技术规范》（HJ2025-2012），危险废物暂存于危险废物暂存间，暂存间应满足防渗漏、防雨淋、防扬尘等要求。,8-污染物排放标准内容判断,报告原文重抽命中，但checked主库未匹配到等价条款，需人工复核
S04,佛山市圣鹏包装材料有限公司新建项目,五、环境保护措施监督检查清单,厂区内无组织废气,VOCs,固定污染源挥发性有机物综合排放标准,DB44/2367-2022,表3,限值二者的较严值,五、环境保护措施监督检查清单 | 厂区内无组织 | 热熔胶粘合 | NMHC | / | 广东省地方标准《固定污染源挥发性有机物综合排放标准》（DB44/2367-2022）中的表3厂区内VOCs无组织排放限值二者的较严值,8-污染物排放标准内容判断,报告原文重抽命中，但checked主库未匹配到等价条款，需人工复核
S04,佛山市圣鹏包装材料有限公司新建项目,五、环境保护措施监督检查清单,危险废物贮存/管理,危险废物,危险废物贮存污染控制标准,GB18597-2023,,满足相应防渗漏、防雨淋、防扬尘等环境保护要求；执行《国家危险废物名录》（2025年版）、《危险废物贮存污染控制标准》（GB18597-2023）,五、环境保护措施监督检查清单 | 污染控制标准》（GB18599-2020）的标准，一般固体废物贮存过程应满足相应防渗漏、防雨淋、防扬尘等环境保护要求。危险废物执行《国家危险废物名录》（2025年版）、《危险废物贮存污染控制标准》（GB18597-2023）。,8-污染物排放标准内容判断,报告原文重抽命中，但checked主库未匹配到等价条款，需人工复核
S04,佛山市圣鹏包装材料有限公司新建项目,五、环境保护措施监督检查清单,危险废物贮存/管理,Leq,危险废物贮存污染控制标准,GB18597-2023,,6m；1.5m；≥6m，渗透系数 $\mathrm { \dot { \leq } } 1 0 ^ { - 7 } \mathrm { c m / s }$；按照《危险废物贮存污染控制标准》（GB18597-2023）的相关要求进行设计并采取相应的防渗措施；达到等效黏土防渗层厚度Mb≥1.5m，渗透系数 $\mathrm { K } { \leq } 1 . 0 { \times } 1 0 ^ { - 7 } \mathrm { c m / s }$ 的要求,五、环境保护措施监督检查清单 | 土壤及地下水污染防治措施 | 项目对厂区采取分区防渗措施，重点防渗区包括危废仓库、化学品储存区等，等效黏土防渗层厚度Mb≥6m，渗透系数 $\mathrm { \dot { \leq } } 1 0 ^ { - 7 } \mathrm { c m / s }$ 。同时按照《危险废物贮存污染控制标准》（GB18597-2023）的相关要求进行设计并采取相应的防渗措施。一般防渗区包括生产车间、一般固废暂存间、原料仓库，防渗性能达到等效黏土防渗层厚度Mb≥1.5m，渗透系数 $\mathrm { K } { \leq } 1 . 0 { \times } 1 0 ^ { - 7 } \mathrm { c m / s }$ 的要求。办公区为简单防渗区，该区域地面均进行水泥硬化。,8-污染物排放标准内容判断,报告原文重抽命中，但checked主库未匹配到等价条款，需人工复核
S04,佛山市圣鹏包装材料有限公司新建项目,五、环境保护措施监督检查清单,危险废物贮存/管理,危险废物,危险废物贮存污染控制标准,GB18597-2023,,6m；1.5m；≥6m，渗透系数 $\mathrm { \dot { \leq } } 1 0 ^ { - 7 } \mathrm { c m / s }$；按照《危险废物贮存污染控制标准》（GB18597-2023）的相关要求进行设计并采取相应的防渗措施；达到等效黏土防渗层厚度Mb≥1.5m，渗透系数 $\mathrm { K } { \leq } 1 . 0 { \times } 1 0 ^ { - 7 } \mathrm { c m / s }$ 的要求,五、环境保护措施监督检查清单 | 土壤及地下水污染防治措施 | 项目对厂区采取分区防渗措施，重点防渗区包括危废仓库、化学品储存区等，等效黏土防渗层厚度Mb≥6m，渗透系数 $\mathrm { \dot { \leq } } 1 0 ^ { - 7 } \mathrm { c m / s }$ 。同时按照《危险废物贮存污染控制标准》（GB18597-2023）的相关要求进行设计并采取相应的防渗措施。一般防渗区包括生产车间、一般固废暂存间、原料仓库，防渗性能达到等效黏土防渗层厚度Mb≥1.5m，渗透系数 $\mathrm { K } { \leq } 1 . 0 { \times } 1 0 ^ { - 7 } \mathrm { c m / s }$ 的要求。办公区为简单防渗区，该区域地面均进行水泥硬化。,8-污染物排放标准内容判断,报告原文重抽命中，但checked主库未匹配到等价条款，需人工复核
S04,佛山市圣鹏包装材料有限公司新建项目,五、环境保护措施监督检查清单,危险废物贮存/管理,一般固废,危险废物贮存污染控制标准,GB18597-2023,,6m；1.5m；≥6m，渗透系数 $\mathrm { \dot { \leq } } 1 0 ^ { - 7 } \mathrm { c m / s }$；按照《危险废物贮存污染控制标准》（GB18597-2023）的相关要求进行设计并采取相应的防渗措施；达到等效黏土防渗层厚度Mb≥1.5m，渗透系数 $\mathrm { K } { \leq } 1 . 0 { \times } 1 0 ^ { - 7 } \mathrm { c m / s }$ 的要求,五、环境保护措施监督检查清单 | 土壤及地下水污染防治措施 | 项目对厂区采取分区防渗措施，重点防渗区包括危废仓库、化学品储存区等，等效黏土防渗层厚度Mb≥6m，渗透系数 $\mathrm { \dot { \leq } } 1 0 ^ { - 7 } \mathrm { c m / s }$ 。同时按照《危险废物贮存污染控制标准》（GB18597-2023）的相关要求进行设计并采取相应的防渗措施。一般防渗区包括生产车间、一般固废暂存间、原料仓库，防渗性能达到等效黏土防渗层厚度Mb≥1.5m，渗透系数 $\mathrm { K } { \leq } 1 . 0 { \times } 1 0 ^ { - 7 } \mathrm { c m / s }$ 的要求。办公区为简单防渗区，该区域地面均进行水泥硬化。,8-污染物排放标准内容判断,报告原文重抽命中，但checked主库未匹配到等价条款，需人工复核
