project_id,project_name,industry_code,industry_name,town,has_acceptance_report,has_final_report,has_approval,has_review_comment,has_plastic_guide_keywords,has_glue_or_composite_process,has_vocs,has_activated_carbon,has_hazardous_waste,recommended_use,notes,industry_code_level,process_feature_p1_glue,process_feature_p2_coating,process_feature_p3_composite,process_feature_p4_printing,process_feature_p5_curing,bonus_b1_vocs,bonus_b2_activated_carbon,bonus_b3_waste_carbon,sample_grade,chain_description
SH_022,佛山诗佳格科技有限公司新建项目,C2929,,,N,Y,N,N,,?,,,,mvp_benchmark,"本地扫描添加 | 原始文件: 终稿-佛山诗佳格科技有限公司新建项目.docx | 提取代码: C2929,C4220",core,,,,,,,,,B,
REVIEW_001,025_（有批注）佛山市顺德区三人众包装材料厂迁改建项目环境影响报告表,,,,N,N,N,N,,Y,,,,manual_review,本地扫描添加 | 原始文件: 025_202304281553531506（有批注）佛山市顺德区三人众包装材料厂迁改建项目环境影响报告表.doc | 提取代码: ,unknown_plastic_kw,,,,,,,,,C,
REVIEW_002,077_佛山市顺德区杏坛镇高赞国明橡胶五金制品厂扩建项目环境影响评价报告表修改意见,,,,N,N,N,Y,,Y,,,,manual_review,本地扫描添加 | 原始文件: 077_佛山市顺德区杏坛镇高赞国明橡胶五金制品厂扩建项目环境影响评价报告表修改意见.doc | 提取代码: ,unknown_plastic_kw,,,,,,,,,C,
REVIEW_003,083_报告表（全本）——佛山市金富亮塑料科技有限公司迁改扩建项目2023.5.11修改意见,,,,N,N,N,Y,,Y,,,,manual_review,本地扫描添加 | 原始文件: 083_报告表（全本）——佛山市金富亮塑料科技有限公司迁改扩建项目2023.5.11修改意见.doc | 提取代码: ,unknown_plastic_kw,,,,,,,,,C,
REVIEW_004,佛山市顺德区三人众包装材料厂迁改建项目环境影响报告表（污染影响类）修改意见,,,,N,N,N,Y,,Y,,,,manual_review,本地扫描添加 | 原始文件: 20230418163527231120230418佛山市顺德区三人众包装材料厂迁改建项目环境影响报告表（污染影响类）修改意见.doc | 提取代码: ,unknown_plastic_kw,,,,,,,,,C,
REVIEW_005,（有批注）佛山市顺德区三人众包装材料厂迁改建项目环境影响报告表,,,,N,N,N,N,,Y,,,,manual_review,本地扫描添加 | 原始文件: 202304281553531506（有批注）佛山市顺德区三人众包装材料厂迁改建项目环境影响报告表.doc | 提取代码: ,unknown_plastic_kw,,,,,,,,,C,
SH_023,涂料颜料_佛山顺德_佛山市嘉柏丽涂料有限公司迁扩建项目_报告表,C2641,,,N,N,N,N,,Y,,,,reference_only,本地扫描添加 | 原始文件: S03_涂料颜料_佛山顺德_佛山市嘉柏丽涂料有限公司迁扩建项目_报告表.docx | 提取代码: C2641,edge,,,,,,,,,C,
SH_024,印刷包装_佛山顺德_广东溯彭城印刷有限公司迁扩建项目_报告表,C2231,,,N,N,N,N,,Y,,,,reference_only,"本地扫描添加 | 原始文件: S05_印刷包装_佛山顺德_广东溯彭城印刷有限公司迁扩建项目_报告表.docx | 提取代码: C2231,C2312,C2319",edge,,,,,,,,,C,
REVIEW_006,印刷包装_佛山顺德_广东海通达包装有限公司建设项目_报告表,,,,N,N,N,N,,Y,,,,manual_review,本地扫描添加 | 原始文件: S06_印刷包装_佛山顺德_广东海通达包装有限公司建设项目_报告表.docx | 提取代码: ,unknown_plastic_kw,,,,,,,,,C,
REVIEW_007,佛山市顺德区杏坛镇高赞国明橡胶五金制品厂扩建项目环境影响评价报告表修改意见,,,,N,N,N,Y,,Y,,,,manual_review,本地扫描添加 | 原始文件: 佛山市顺德区杏坛镇高赞国明橡胶五金制品厂扩建项目环境影响评价报告表修改意见.doc | 提取代码: ,unknown_plastic_kw,,,,,,,,,C,
REVIEW_008,—佛山市金富亮塑料科技有限公司迁改扩建项目2023.5.11修改意见,,,,N,N,N,Y,,Y,,,,manual_review,本地扫描添加 | 原始文件: 报告表（全本）——佛山市金富亮塑料科技有限公司迁改扩建项目2023.5.11修改意见.doc | 提取代码: ,unknown_plastic_kw,,,,,,,,,C,
