序号,source_file,project_name,evidence_id,evidence_type,status,section,table_number,table_name,field_name,quote
12,002_佛山市顺德区启卓工程塑料实业有限公司搬迁项目_01_核查材料.docx,佛山市顺德区启卓工程塑料实业有限公司搬迁项目,E4,核心工艺,found,二、建设项目工程分析,,工艺流程和产排污环节,工艺流程简述,PP、PC、PA、PPT、PET新粒料、玻璃纤维、色母经配料混料后，在约200℃双螺杆挤出机组内挤出成型，冷却成条后切粒，检测合格后包装为成品。
13,002_佛山市顺德区启卓工程塑料实业有限公司搬迁项目_01_核查材料.docx,佛山市顺德区启卓工程塑料实业有限公司搬迁项目,E5,产品用途,found,二、建设项目工程分析,,项目概况/工艺说明,产品用途,改性塑料粒/塑料粒料
14,002_佛山市顺德区启卓工程塑料实业有限公司搬迁项目_01_核查材料.docx,佛山市顺德区启卓工程塑料实业有限公司搬迁项目,E6,主要活动,missing,二、建设项目工程分析,,,增加值/销售收入/营业收入/从业人员,
15,002_佛山市顺德区启卓工程塑料实业有限公司搬迁项目_01_核查材料.docx,佛山市顺德区启卓工程塑料实业有限公司搬迁项目,E7,官方分类依据,found,国家统计局国民经济行业分类注释,,小类注释,C2929,C2929塑料零件及其他塑料制品制造：包括其他未列明塑料制品、塑料粒料、填充/共混/增强/功能改性塑料颗粒、塑料热塑性弹性体颗粒等。 来源：国家统计局《2017国民经济行业分类注释》（按第1号修改单修订），https://www.stats.gov.cn/sj/tjbz/gmjjhyfl/
16,003_佛山市顺德区康明新材料厂新建项目_01_核查材料.docx,佛山市顺德区康明新材料厂新建项目,E1,填报行业,found,一、建设项目基本情况,,基本情况表,国民经济行业类别,国民经济行业类别：C2921塑料薄膜制造
17,003_佛山市顺德区康明新材料厂新建项目_01_核查材料.docx,佛山市顺德区康明新材料厂新建项目,E2,最终产品,found,二、建设项目工程分析,,项目概况/主要产品及产能,产品及产能,主要从事塑料薄膜的生产，年产塑料薄膜242.368吨/年。
18,003_佛山市顺德区康明新材料厂新建项目_01_核查材料.docx,佛山市顺德区康明新材料厂新建项目,E3-1,主要原料,found,二、建设项目工程分析,,主要原辅材料及年用量,物料名称,主要原辅材料包括：PE塑料粒、保护胶涂布胶。
19,003_佛山市顺德区康明新材料厂新建项目_01_核查材料.docx,佛山市顺德区康明新材料厂新建项目,E4,核心工艺,found,二、建设项目工程分析,,工艺流程和产排污环节,工艺流程简述,人工将PE塑料粒投料，混料后吹膜成型，再进行涂布、烘干、分切、复卷和检验。
20,003_佛山市顺德区康明新材料厂新建项目_01_核查材料.docx,佛山市顺德区康明新材料厂新建项目,E5,产品用途,found,二、建设项目工程分析,,项目概况/工艺说明,产品用途,保护膜用途
21,003_佛山市顺德区康明新材料厂新建项目_01_核查材料.docx,佛山市顺德区康明新材料厂新建项目,E6,主要活动,missing,二、建设项目工程分析,,,增加值/销售收入/营业收入/从业人员,
22,003_佛山市顺德区康明新材料厂新建项目_01_核查材料.docx,佛山市顺德区康明新材料厂新建项目,E7,官方分类依据,found,国家统计局国民经济行业分类注释,,小类注释,C2921,C2921塑料薄膜制造：指用于农业覆盖，工业、商业及日用包装薄膜的制造；包括复合薄膜、涂布薄膜、其他塑料薄膜等。 来源：国家统计局《2017国民经济行业分类注释》（按第1号修改单修订），https://www.stats.gov.cn/sj/tjbz/gmjjhyfl/
23,004_恒励新材料科技(佛山)有限公司新建项目_01_核查材料.docx,恒励新材料科技(佛山)有限公司新建项目,E1,填报行业,found,一、建设项目基本情况,,基本情况表,国民经济行业类别,国民经济行业类别：C2929 塑料零件及其他塑料制品制造
24,004_恒励新材料科技(佛山)有限公司新建项目_01_核查材料.docx,恒励新材料科技(佛山)有限公司新建项目,E2,最终产品,found,二、建设项目工程分析,,项目概况/主要产品及产能,产品及产能,主要从事改性SEBS塑料的生产，年产改性SEBS塑料720吨/年。
25,004_恒励新材料科技(佛山)有限公司新建项目_01_核查材料.docx,恒励新材料科技(佛山)有限公司新建项目,E3-1,主要原料,found,二、建设项目工程分析,,主要原辅材料及年用量,物料名称,主要原辅材料包括：SEBS、增粘树脂。
26,004_恒励新材料科技(佛山)有限公司新建项目_01_核查材料.docx,恒励新材料科技(佛山)有限公司新建项目,E4,核心工艺,found,二、建设项目工程分析,,工艺流程和产排污环节,工艺流程简述,外购SEBS、增粘树脂经自动配料后吸入双螺杆挤出机，约200℃挤出成型，经水下切粒和振动筛选后成为成品。
27,004_恒励新材料科技(佛山)有限公司新建项目_01_核查材料.docx,恒励新材料科技(佛山)有限公司新建项目,E5,产品用途,found,二、建设项目工程分析,,项目概况/工艺说明,产品用途,改性SEBS塑料/热塑性弹性体颗粒
28,004_恒励新材料科技(佛山)有限公司新建项目_01_核查材料.docx,恒励新材料科技(佛山)有限公司新建项目,E6,主要活动,missing,二、建设项目工程分析,,,增加值/销售收入/营业收入/从业人员,
29,004_恒励新材料科技(佛山)有限公司新建项目_01_核查材料.docx,恒励新材料科技(佛山)有限公司新建项目,E7,官方分类依据,found,国家统计局国民经济行业分类注释,,小类注释,C2929,C2929塑料零件及其他塑料制品制造：包括其他未列明塑料制品、塑料粒料、填充/共混/增强/功能改性塑料颗粒、塑料热塑性弹性体颗粒等。 来源：国家统计局《2017国民经济行业分类注释》（按第1号修改单修订），https://www.stats.gov.cn/sj/tjbz/gmjjhyfl/
30,005_佛山市润特龙清洁用品有限公司新建项目_01_核查材料.docx,佛山市润特龙清洁用品有限公司新建项目,E1,填报行业,found,一、建设项目基本情况,,基本情况表,国民经济行业类别,国民经济行业类别：C2927日用塑料制品制造
31,005_佛山市润特龙清洁用品有限公司新建项目_01_核查材料.docx,佛山市润特龙清洁用品有限公司新建项目,E2-1,最终产品,found,二、建设项目工程分析,表2-2,项目产品方案,产品及产能,主要从事日用塑料制品的生产，计划年产扫把丝1380吨、刷丝20吨、清洁扫把20万把、清洁刷2万把。
32,005_佛山市润特龙清洁用品有限公司新建项目_01_核查材料.docx,佛山市润特龙清洁用品有限公司新建项目,E3-1,主要原料,found,二、建设项目工程分析,表2-5,项目主要原辅材料及年用量情况,物料名称,外购PET、PP、改性PET、尼龙、PS、EVA、PBT塑料粒、色母；外购扫把头、刷头。
33,005_佛山市润特龙清洁用品有限公司新建项目_01_核查材料.docx,佛山市润特龙清洁用品有限公司新建项目,E4-1,核心工艺,found,二、建设项目工程分析,,工艺流程和产排污环节,工艺流程说明,扫把丝、刷丝经混料、挤出、冷却、检测、收卷、烘干定型、切丝；清洁扫把、清洁刷经植丝、人工修毛、人工包装。
34,005_佛山市润特龙清洁用品有限公司新建项目_01_核查材料.docx,佛山市润特龙清洁用品有限公司新建项目,E5-1,产品用途,found,二、建设项目工程分析,,工艺流程和产排污环节,产品用途,扫把丝、刷丝用于植丝组装清洁扫把、清洁刷；成品为清洁用品。
35,005_佛山市润特龙清洁用品有限公司新建项目_01_核查材料.docx,佛山市润特龙清洁用品有限公司新建项目,E6,主要活动,missing,二、建设项目工程分析,,,增加值/销售收入/营业收入/从业人员,
36,005_佛山市润特龙清洁用品有限公司新建项目_01_核查材料.docx,佛山市润特龙清洁用品有限公司新建项目,E7,官方分类依据,found,国家统计局国民经济行业分类注释,,小类注释,C2927,C2927日用塑料制品制造：指塑料制餐厨用具、卫生设备、洁具及配件、塑料服装、日用塑料装饰品以及其他日用塑料制品的生产活动。 来源：国家统计局《2017国民经济行业分类注释》（按第1号修改单修订），https://www.stats.gov.cn/sj/tjbz/gmjjhyfl/
