project_id,file_name,practical_status,status,text_layer_rate,row_complete_rate,title_complete_rate,checked_rows,complete_rows,partial_rows,missing_rows,reason,md_file,file_id
PL029,PL029_佛山市茂安耀科技有限公司新建项目_01_受理公告或公示版.pdf,??????,需复核,84.4,91.1,100.0,1033,941,50,42,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_02_021-040.md,027_佛山市茂安耀科技有限公司新建项目_01_受理公告或公示版
PL030,PL030_佛山市瑞易德塑料五金制品有限公司搬迁项目_01_受理公告或公示版.pdf,??????,需复核,61.3,94.3,98.5,860,811,20,29,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_02_021-040.md,028_佛山市瑞易德塑料五金制品有限公司搬迁项目_01_受理公告或公示版
PL031,PL031_佛山市浩创时代包装制品有限公司新建项目_01_受理公告或公示版.pdf,??????,需复核,69.9,82.7,52.8,1477,1222,94,161,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_07_121-140.md,135_佛山市浩创时代包装制品有限公司新建项目_01_受理公告或公示版
PL032,PL032_德旺众新材料科技(佛山)有限公司新建建设项目_01_受理公告或公示版.pdf,??????,需复核,90.2,92.3,98.4,808,746,19,43,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_02_021-040.md,030_德旺众新材料科技（佛山）有限公司新建建设项目_01_受理公告或公示版
PL033,PL033_广东施格纳电气有限公司新建项目_01_受理公告或公示版.pdf,??????,需复核,83.3,94.1,100.0,1165,1096,31,38,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_02_021-040.md,031_广东施格纳电气有限公司新建项目_01_受理公告或公示版
PL034,PL034_佛山市沃丰德电器有限公司扩建项目_01_受理公告或公示版.pdf,??????,需复核,86.0,89.3,100.0,1199,1071,50,78,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_02_021-040.md,032_佛山市沃丰德电器有限公司扩建项目_01_受理公告或公示版
PL035,PL035_佛山市顺德区钧锐塑料厂迁建项目_01_受理公告或公示版.pdf,?OCR??,需OCR复核,49.2,89.3,100.0,1391,1242,56,93,PDF文本层不足，可能是扫描件或图片页较多,解析文本拼接_表格清洗增强_02_021-040.md,033_佛山市顺德区钧锐塑料厂迁建项目_01_受理公告或公示版
PL036,PL036_广东梅州磁性材料有限公司顺德分公司迁扩建项目_01_受理公告或公示版.pdf,??????,需复核,88.4,89.9,98.3,1360,1222,38,100,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_02_021-040.md,034_广东梅州磁性材料有限公司顺德分公司迁扩建项目_01_受理公告或公示版
PL037,PL037_佛山麦琪科技有限公司建设项目_01_受理公告或公示版.pdf,??????,需复核,71.4,89.2,100.0,806,719,15,72,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_02_021-040.md,035_佛山麦琪科技有限公司建设项目_01_受理公告或公示版
PL038,PL038_佛山市顺德区晟昂电子科技有限公司新建项目_01_报批稿或报告表.pdf,??????,需复核,86.2,94.1,100.0,1206,1135,23,48,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_02_021-040.md,036_佛山市顺德区晟昂电子科技有限公司新建项目_01_报批稿或报告表
PL039,PL039_佛山市锦汇塑料制品有限公司新建项目_01_受理公告或公示版.pdf,??????,需复核,76.8,88.8,98.1,983,873,38,72,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_02_021-040.md,037_佛山市锦汇塑料制品有限公司新建项目_01_受理公告或公示版
PL040,PL040_佛山市海川塑料制品有限公司新建项目_01_受理公告或公示版.pdf,??????,需复核,71.4,89.1,100,823,733,39,51,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_02_021-040.md,038_佛山市海川塑料制品有限公司新建项目_01_受理公告或公示版
PL041,PL041_佛山市创灏五金塑料有限公司年产塑料制品1250万件迁改扩建项目_01_受理公告或公示版.pdf,?OCR??,需OCR复核,48.1,92.6,100.0,917,849,13,55,PDF文本层不足，可能是扫描件或图片页较多,解析文本拼接_表格清洗增强_07_121-140.md,124_佛山市创灏五金塑料有限公司年产塑料制品1250万件迁改扩建项目_01_受理公告或公示版
PL042,PL042_佛山市顺德区夏瑞塑胶有限公司迁扩建项目_01_受理公告或公示版.pdf,??????,需复核,81.0,89.0,100.0,963,857,34,72,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_02_021-040.md,040_佛山市顺德区夏瑞塑胶有限公司迁扩建项目_01_受理公告或公示版
PL043,PL043_佛山市益旭电器有限公司新建项目_01_受理公告或公示版.pdf,??????,需复核,67.3,92.0,100.0,910,837,31,42,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_03_041-060.md,041_佛山市益旭电器有限公司新建项目_01_受理公告或公示版
PL044,PL044_佛山市昇汇包装材料有限公司新建项目_01_受理公告或公示版.pdf,??????,需复核,77.1,89.8,100.0,1045,938,43,64,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_06_101-120.md,116_佛山市昇汇包装材料有限公司新建项目_01_受理公告或公示版
PL045,PL045_佛山市富懿塑料制品有限公司新建项目_01_报批稿或报告表.pdf,??????,需复核,92.3,88.8,100.0,774,687,34,53,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_03_041-060.md,043_佛山市富懿塑料制品有限公司新建项目_01_报批稿或报告表
PL046,PL046_佛山市圣鑫塑料制品有限公司新建项目_01_受理公告或公示版.pdf,??????,需复核,76.1,90.2,100,891,804,37,50,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_03_041-060.md,044_佛山市圣鑫塑料制品有限公司新建项目_01_受理公告或公示版
PL047,PL047_佛山智达医疗器械有限公司新建项目_01_受理公告或公示版.pdf,??????,需复核,69.5,88.1,100,952,839,46,67,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_03_041-060.md,045_佛山智达医疗器械有限公司新建项目_01_受理公告或公示版
PL049,PL049_佛山市顺德区华祥坤工艺电器有限公司扩建项目_01_受理公告或公示版.pdf,??????,需复核,88.4,93.4,100.0,1458,1362,56,40,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_03_041-060.md,046_佛山市顺德区华祥坤工艺电器有限公司扩建项目_01_受理公告或公示版
PL050,PL050_广东希睿思汽车零部件有限公司新建项目_01_受理公告或公示版.pdf,??????,需复核,82.3,94.7,100.0,1217,1152,36,29,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_03_041-060.md,047_广东希睿思汽车零部件有限公司新建项目_01_受理公告或公示版
PL052,PL052_佛山市顺德区嘉保洁具有限公司迁建项目_01_报批稿或报告表.pdf,??????,需复核,63.4,91.8,98.5,1099,1009,42,48,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_03_041-060.md,048_佛山市顺德区嘉保洁具有限公司迁建项目_01_报批稿或报告表
PL053,PL053_佛山市力方电器科技有限公司新建项目_01_报批稿或报告表.pdf,?OCR??,需OCR复核,0.0,0,100,0,0,0,0,PDF文本层不足，可能是扫描件或图片页较多,解析文本拼接_表格清洗增强_03_041-060.md,049_佛山市力方电器科技有限公司新建项目_01_报批稿或报告表
PL054,PL054_佛山市顺德区红昇电器有限公司新建项目_01_受理公告或公示版.pdf,??????,需复核,81.9,93.0,100.0,1122,1044,34,44,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_03_041-060.md,050_佛山市顺德区红昇电器有限公司新建项目_01_受理公告或公示版
PL055,PL055_佛山市力新五金塑胶制品有限公司新建项目_01_受理公告或公示版.pdf,??????,需复核,79.5,88.5,98.2,1282,1135,58,89,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_03_041-060.md,051_佛山市力新五金塑胶制品有限公司新建项目_01_受理公告或公示版
PL056,PL056_佛山市祖帮海绵有限公司新建项目_01_受理公告或公示版.pdf,??????,需复核,83.1,93.3,98.4,4926,4598,136,192,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_03_041-060.md,052_佛山市祖帮海绵有限公司新建项目_01_受理公告或公示版
PL056,PL056_佛山市祖帮海绵有限公司新建项目_03_报批稿或报告表.pdf,??????,需复核,82.7,0.0,0.0,4846,0,173,4673,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_09_161-180.md,157_佛山市祖帮海绵有限公司新建项目_03_报批稿或报告表
PL056,PL056_佛山市祖帮海绵有限公司新建项目_04_报批稿或报告表.pdf,?OCR??,未匹配md,,,,,,,,PDF文件未找到对应md段落,,
PL057,PL057_佛山粤友塑料制品有限公司新建项目_01_受理公告或公示版.pdf,??????,需复核,75.0,88.9,100,978,869,38,71,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_03_041-060.md,053_佛山粤友塑料制品有限公司新建项目_01_受理公告或公示版
PL058,PL058_佛山诗佳格科技有限公司新建项目_01_受理公告或公示版.pdf,??????,需复核,74.3,87.1,100,979,853,48,78,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_03_041-060.md,054_佛山诗佳格科技有限公司新建项目_01_受理公告或公示版
PL059,PL059_佛山市乔安电器有限公司迁建项目_01_受理公告或公示版.pdf,??????,需复核,67.7,93.0,100.0,954,887,20,47,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_03_041-060.md,055_佛山市乔安电器有限公司迁建项目_01_受理公告或公示版
PL060,PL060_佛山市顺德区菱昌精密塑料五金实业有限公司新建项目_01_受理公告或公示版.pdf,??????,需复核,70.0,73.9,94.7,995,735,102,158,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_08_141-160.md,147_佛山市顺德区菱昌精密塑料五金实业有限公司新建项目_01_受理公告或公示版
PL061,PL061_佛山市德田科技有限公司建设项目_01_受理公告或公示版.pdf,??????,需复核,76.9,89.4,100.0,1009,902,38,69,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_03_041-060.md,057_佛山市德田科技有限公司建设项目_01_受理公告或公示版
PL062,PL062_佛山市车壹套塑料制品有限公司新建项目_01_受理公告或公示版.pdf,??????,需复核,73.9,89.1,100,911,812,48,51,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_03_041-060.md,058_佛山市车壹套塑料制品有限公司新建项目_01_受理公告或公示版
PL063,PL063_华硕(广东)新材料股份有限公司新建项目_01_报批稿或报告表.pdf,??????,需复核,84.9,90.3,100.0,1098,991,48,59,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_03_041-060.md,059_华硕（广东）新材料股份有限公司新建项目_01_报批稿或报告表
PL064,PL064_佛山汇诚科技有限公司新建项目_01_报批稿或报告表.pdf,??????,需复核,87.8,92.6,100.0,1696,1571,52,73,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_03_041-060.md,060_佛山汇诚科技有限公司新建项目_01_报批稿或报告表
PL065,PL065_佛山市景素科科技有限公司建设项目_01_受理公告或公示版.pdf,??????,需复核,68.5,93.3,100.0,1114,1039,19,56,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_04_061-080.md,061_佛山市景素科科技有限公司建设项目_01_受理公告或公示版
PL066,PL066_佛山市智鑫塑胶制品有限公司迁扩建项目_01_报批稿或报告表.pdf,??????,需复核,60.8,91.6,100.0,1291,1182,33,76,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_04_061-080.md,062_佛山市智鑫塑胶制品有限公司迁扩建项目_01_报批稿或报告表
PL067,PL067_佛山市玖心日用品有限公司新建项目_01_报批稿或报告表.pdf,??????,需复核,89.0,92.4,100.0,1631,1507,43,81,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_04_061-080.md,063_佛山市玖心日用品有限公司新建项目_01_报批稿或报告表
PL068,PL068_佛山市靓禾厨卫用品有限公司新建项目_01_受理公告或公示版.pdf,??????,需复核,77.4,91.0,100.0,972,885,51,36,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_04_061-080.md,064_佛山市靓禾厨卫用品有限公司新建项目_01_受理公告或公示版
PL069,PL069_万业诚新材料(佛山)有限公司迁建项目_01_受理公告或公示版.pdf,?OCR??,需OCR复核,49.2,84.2,100.0,1244,1047,43,154,PDF文本层不足，可能是扫描件或图片页较多,解析文本拼接_表格清洗增强_04_061-080.md,065_万业诚新材料（佛山）有限公司迁建项目_01_受理公告或公示版
PL070,PL070_广东顺德顺炎新材料股份有限公司年产改性塑料粒6万吨迁扩建项目_01_报批稿或报告表.pdf,??????,需复核,64.0,89.4,100.0,1019,911,34,74,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_04_061-080.md,066_广东顺德顺炎新材料股份有限公司年产改性塑料粒6万吨迁扩建项目_01_报批稿或报告表
PL071,PL071_佛山市顺德区耀顺欣模具厂新建项目_01_受理公告或公示版.pdf,??????,需复核,85.1,90.9,100.0,922,838,27,57,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_04_061-080.md,067_佛山市顺德区耀顺欣模具厂新建项目_01_受理公告或公示版
PL072,PL072_佛山市至贤科技有限公司新建项目_01_受理公告或公示版.pdf,??????,需复核,75.6,90.3,98.2,866,782,47,37,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_04_061-080.md,068_佛山市至贤科技有限公司新建项目_01_受理公告或公示版
PL073,PL073_佛山市安邵塑胶制品有限公司新建项目_01_报批稿或报告表.pdf,??????,需复核,74.7,92.2,100.0,1095,1010,38,47,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_04_061-080.md,069_佛山市安邵塑胶制品有限公司新建项目_01_报批稿或报告表
PL074,PL074_佛山市思莱拓科技有限公司新建项目_01_受理公告或公示版.pdf,??????,需复核,73.7,90.9,100.0,936,851,27,58,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_04_061-080.md,070_佛山市思莱拓科技有限公司新建项目_01_受理公告或公示版
PL075,PL075_佛山市昊芸照明有限公司新建项目_01_受理公告或公示版.pdf,??????,需复核,93.0,92.2,100.0,1147,1058,30,59,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_04_061-080.md,071_佛山市昊芸照明有限公司新建项目_01_受理公告或公示版
PL076,PL076_佛山市友帝塑料制品有限公司扩建项目_01_受理公告或公示版.pdf,??????,需复核,76.2,91.3,100.0,1357,1239,39,79,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_04_061-080.md,072_佛山市友帝塑料制品有限公司扩建项目_01_受理公告或公示版
PL077,PL077_佛山市优塑包装科技有限公司新建项目_01_受理公告或公示版.pdf,??????,需复核,64.6,91.0,100,842,766,33,43,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_04_061-080.md,073_佛山市优塑包装科技有限公司新建项目_01_受理公告或公示版
PL078,PL078_佛山市顺德区德盈誉智能制造有限公司新建项目_01_受理公告或公示版.pdf,??????,需复核,74.0,15.3,0.0,1045,160,185,700,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_08_141-160.md,146_佛山市顺德区德盈誉智能制造有限公司新建项目_01_受理公告或公示版
PL079,PL079_广东圣鑫机电股份有限公司扩建项目_01_受理公告或公示版.pdf,??????,需复核,64.5,90.4,100.0,1327,1199,46,82,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_04_061-080.md,075_广东圣鑫机电股份有限公司扩建项目_01_受理公告或公示版
PL081,PL081_佛山市顺德区保塑管业有限公司迁扩建项目_01_受理公告或公示版.pdf,??????,需复核,83.7,93.5,98.6,1165,1089,37,39,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_04_061-080.md,076_佛山市顺德区保塑管业有限公司迁扩建项目_01_受理公告或公示版
PL083,PL083_佛山市顺德区康明新材料厂新建项目_01_受理公告或公示版.pdf,??????,需复核,71.4,93.6,100.0,1103,1032,29,42,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_04_061-080.md,077_佛山市顺德区康明新材料厂新建项目_01_受理公告或公示版
PL084,PL084_佛山市顺德区中润基誉新材料科技有限公司新建项目_01_受理公告或公示版.pdf,??????,需复核,73.2,86.4,100.0,1163,1005,34,124,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_04_061-080.md,078_佛山市顺德区中润基誉新材料科技有限公司新建项目_01_受理公告或公示版
PL085,PL085_广东周杨科电器有限公司迁扩建项目_01_受理公告或公示版.pdf,??????,需复核,78.4,90.3,100.0,992,896,45,51,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_04_061-080.md,079_广东周杨科电器有限公司迁扩建项目_01_受理公告或公示版
PL086,PL086_佛山市科镁电器科技有限公司新建项目_01_受理公告或公示版.pdf,??????,需复核,65.9,91.8,100.0,1047,961,40,46,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_04_061-080.md,080_佛山市科镁电器科技有限公司新建项目_01_受理公告或公示版
PL087,PL087_佛山市安邵塑胶制品有限公司新建项目_01_受理公告或公示版.pdf,??????,需复核,73.4,93.1,100.0,972,905,28,39,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_05_081-100.md,081_佛山市安邵塑胶制品有限公司新建项目_01_受理公告或公示版
PL088,PL088_佛山市优力塑电器有限公司新建项目_01_报批稿或报告表.pdf,??????,需复核,75.2,92.0,100.0,862,793,27,42,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_05_081-100.md,082_佛山市优力塑电器有限公司新建项目_01_报批稿或报告表
PL089,PL089_佛山市永佳奕科技有限公司扩建项目_01_受理公告或公示版.pdf,??????,需复核,61.5,91.2,100.0,1222,1114,46,62,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_05_081-100.md,083_佛山市永佳奕科技有限公司扩建项目_01_受理公告或公示版
PL090,PL090_佛山市凌锴源模具科技有限公司迁扩建项目_01_受理公告或公示版.pdf,??????,需复核,64.8,92.0,100.0,1031,949,38,44,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_05_081-100.md,084_佛山市凌锴源模具科技有限公司迁扩建项目_01_受理公告或公示版
PL091,PL091_佛山市集北龙华海绵制造股份有限公司搬迁扩建项目_01_受理公告或公示版.pdf,??????,需复核,83.3,93.2,100.0,4250,3962,125,163,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_05_081-100.md,085_佛山市集北龙华海绵制造股份有限公司搬迁扩建项目_01_受理公告或公示版
PL092,PL092_佛山市新得雅科技有限责任公司新建项目_01_受理公告或公示版.pdf,??????,需复核,98.8,94.7,100.0,3070,2908,68,94,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_05_081-100.md,086_佛山市新得雅科技有限责任公司新建项目_01_受理公告或公示版
PL094,PL094_佛山市丰友享家具配件实业有限公司迁扩建项目_01_受理公告或公示版.pdf,??????,需复核,87.7,91.6,100.0,1096,1004,58,34,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_05_081-100.md,087_佛山市丰友享家具配件实业有限公司迁扩建项目_01_受理公告或公示版
PL095,PL095_佛山市京耘科技有限公司新建项目_01_受理公告或公示版.pdf,??????,需复核,63.9,10.4,2.0,917,95,99,723,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_07_121-140.md,129_佛山市京耘科技有限公司新建项目_01_受理公告或公示版
PL096,PL096_高晖(佛山)新材料科技有限公司新建项目_01_受理公告或公示版.pdf,??????,需复核,66.9,90.6,98.2,1094,991,43,60,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_05_081-100.md,089_高晖（佛山）新材料科技有限公司新建项目_01_受理公告或公示版
PL098,PL098_佛山市顺德区共诺电子元件厂搬迁项目_01_受理公告或公示版.pdf,??????,需复核,73.0,90.3,100.0,807,729,27,51,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_05_081-100.md,090_佛山市顺德区共诺电子元件厂搬迁项目_01_受理公告或公示版
PL099,PL099_佛山市顺佳利智能科技有限公司扩建项目(重新报批)_01_报批稿或报告表.pdf,??????,需复核,84.6,93.2,100.0,1274,1187,40,47,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_05_081-100.md,091_佛山市顺佳利智能科技有限公司扩建项目（重新报批）_01_报批稿或报告表
PL100,PL100_佛山市天日塑料科技有限公司迁扩建项目_01_报批稿或报告表.pdf,??????,需复核,63.0,90.8,100.0,1386,1258,56,72,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_05_081-100.md,092_佛山市天日塑料科技有限公司迁扩建项目_01_报批稿或报告表
PL102,PL102_佛山市顺德区福晟鑫塑料制品有限公司迁扩建项目_01_受理公告或公示版.pdf,??????,需复核,74.8,94.9,100.0,1200,1139,25,36,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_05_081-100.md,093_佛山市顺德区福晟鑫塑料制品有限公司迁扩建项目_01_受理公告或公示版
PL103,PL103_佛山市顺德区谦和丰塑料制品厂新建项目_01_受理公告或公示版.pdf,??????,需复核,76.3,85.4,100.0,646,552,47,47,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_07_121-140.md,125_佛山市顺德区谦和丰塑料制品厂新建项目_01_受理公告或公示版
PL104,PL104_华硕(广东)新材料股份有限公司建设项目_01_受理公告或公示版.pdf,??????,需复核,87.1,90.9,100.0,1181,1074,37,70,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_05_081-100.md,095_华硕（广东）新材料股份有限公司建设项目_01_受理公告或公示版
PL106,PL106_佛山市顺德区谦迅盛塑料制品厂新建项目_01_受理公告或公示版.pdf,??????,需复核,76.7,82.7,98.4,647,535,54,58,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_07_121-140.md,126_佛山市顺德区谦迅盛塑料制品厂新建项目_01_受理公告或公示版
PL107,PL107_佛山赫昶塑胶制品有限公司新建项目_01_报批稿或报告表.pdf,??????,需复核,68.9,92.9,100.0,1046,972,32,42,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_05_081-100.md,097_佛山赫昶塑胶制品有限公司新建项目_01_报批稿或报告表
PL108,PL108_佛山市东来晟塑料制品有限公司新建项目_01_报批稿或报告表.pdf,??????,需复核,82.4,87.4,100.0,818,715,36,67,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_05_081-100.md,098_佛山市东来晟塑料制品有限公司新建项目_01_报批稿或报告表
PL110,PL110_佛山市宇纳电器科技有限公司迁扩建项目_01_受理公告或公示版.pdf,??????,需复核,80.0,94.2,100.0,866,816,14,36,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_05_081-100.md,099_佛山市宇纳电器科技有限公司迁扩建项目_01_受理公告或公示版
PL111,PL111_佛山市承帆新材料科技有限公司新建项目_01_受理公告或公示版.pdf,??????,需复核,65.7,92.9,100.0,1039,965,29,45,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_05_081-100.md,100_佛山市承帆新材料科技有限公司新建项目_01_受理公告或公示版
PL112,PL112_广东顺德铁夫汽车配件有限公司迁扩建项目_01_受理公告或公示版.pdf,??????,需复核,90.6,88.7,98.5,1282,1137,39,106,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_06_101-120.md,101_广东顺德铁夫汽车配件有限公司迁扩建项目_01_受理公告或公示版
PL113,PL113_佛山市顺腾丰家具配件有限公司新建项目_01_受理公告或公示版.pdf,??????,需复核,84.1,92.0,100.0,772,710,28,34,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_06_101-120.md,102_佛山市顺腾丰家具配件有限公司新建项目_01_受理公告或公示版
PL114,PL114_广东顺德优线三维科技有限公司迁扩建项目_01_受理公告或公示版.pdf,??????,需复核,56.8,89.8,100.0,1493,1341,68,84,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_06_101-120.md,103_广东顺德优线三维科技有限公司迁扩建项目_01_受理公告或公示版
PL115,PL115_佛山市邦博恩智能科技有限公司新建项目_01_报批稿或报告表.pdf,??????,需复核,84.9,90.1,100.0,988,890,25,73,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_06_101-120.md,104_佛山市邦博恩智能科技有限公司新建项目_01_报批稿或报告表
PL116,PL116_佛山市加合新材料有限公司新建项目_01_报批稿或报告表.pdf,??????,需复核,74.2,94.7,100.0,1076,1019,26,31,存在部分PDF表格行未在md中完整命中,解析文本拼接_表格清洗增强_06_101-120.md,105_佛山市加合新材料有限公司新建项目_01_报批稿或报告表
