run_id,question_id,group,input_condition,project_name,audit_module,suggested_skill,model_output,score_problem_identification,score_standard_basis,score_evidence_location,score_reasoning_consistency,score_actionability,score_risk_boundary,human_comment
SC_QHSJ_003_C,SC_QHSJ_003,C,大模型 + 审核技能库,佛山市全海世家新材料科技有限公司新建项目,建设内容完整性;运营期产污系数与源强核算,04_建设内容完整性审核,,,,,,,,
SC_QHSJ_003_D,SC_QHSJ_003,D,大模型 + 标准依据库 + 审核技能库,佛山市全海世家新材料科技有限公司新建项目,建设内容完整性;运营期产污系数与源强核算,04_建设内容完整性审核,,,,,,,,
SC_QHSJ_004_A,SC_QHSJ_004,A,仅大模型 + 审核问题,佛山市全海世家新材料科技有限公司新建项目,建设内容完整性;运营期产污系数与源强核算,04_建设内容完整性审核,,,,,,,,
SC_QHSJ_004_B,SC_QHSJ_004,B,大模型 + 标准依据库,佛山市全海世家新材料科技有限公司新建项目,建设内容完整性;运营期产污系数与源强核算,04_建设内容完整性审核,,,,,,,,
SC_QHSJ_004_C,SC_QHSJ_004,C,大模型 + 审核技能库,佛山市全海世家新材料科技有限公司新建项目,建设内容完整性;运营期产污系数与源强核算,04_建设内容完整性审核,,,,,,,,
SC_QHSJ_004_D,SC_QHSJ_004,D,大模型 + 标准依据库 + 审核技能库,佛山市全海世家新材料科技有限公司新建项目,建设内容完整性;运营期产污系数与源强核算,04_建设内容完整性审核,,,,,,,,
SC_QHSJ_007_A,SC_QHSJ_007,A,仅大模型 + 审核问题,佛山市全海世家新材料科技有限公司新建项目,建设内容完整性;文件制式规范,04_建设内容完整性审核,,,,,,,,
SC_QHSJ_007_B,SC_QHSJ_007,B,大模型 + 标准依据库,佛山市全海世家新材料科技有限公司新建项目,建设内容完整性;文件制式规范,04_建设内容完整性审核,,,,,,,,
SC_QHSJ_007_C,SC_QHSJ_007,C,大模型 + 审核技能库,佛山市全海世家新材料科技有限公司新建项目,建设内容完整性;文件制式规范,04_建设内容完整性审核,,,,,,,,
SC_QHSJ_007_D,SC_QHSJ_007,D,大模型 + 标准依据库 + 审核技能库,佛山市全海世家新材料科技有限公司新建项目,建设内容完整性;文件制式规范,04_建设内容完整性审核,,,,,,,,
SC_CC_002_A,SC_CC_002,A,仅大模型 + 审核问题,佛山市彩川合成材料有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,,,,,,
SC_CC_002_B,SC_CC_002,B,大模型 + 标准依据库,佛山市彩川合成材料有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,,,,,,
SC_CC_002_C,SC_CC_002,C,大模型 + 审核技能库,佛山市彩川合成材料有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,,,,,,
SC_CC_002_D,SC_CC_002,D,大模型 + 标准依据库 + 审核技能库,佛山市彩川合成材料有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,,,,,,
SC_CC_003_A,SC_CC_003,A,仅大模型 + 审核问题,佛山市彩川合成材料有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,,,,,,
SC_CC_003_B,SC_CC_003,B,大模型 + 标准依据库,佛山市彩川合成材料有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,,,,,,
SC_CC_003_C,SC_CC_003,C,大模型 + 审核技能库,佛山市彩川合成材料有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,,,,,,
SC_CC_003_D,SC_CC_003,D,大模型 + 标准依据库 + 审核技能库,佛山市彩川合成材料有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,,,,,,
SC_CC_004_A,SC_CC_004,A,仅大模型 + 审核问题,佛山市彩川合成材料有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,,,,,,
SC_CC_004_B,SC_CC_004,B,大模型 + 标准依据库,佛山市彩川合成材料有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,,,,,,
SC_CC_004_C,SC_CC_004,C,大模型 + 审核技能库,佛山市彩川合成材料有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,,,,,,
SC_CC_004_D,SC_CC_004,D,大模型 + 标准依据库 + 审核技能库,佛山市彩川合成材料有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,,,,,,
SC_CC_005_A,SC_CC_005,A,仅大模型 + 审核问题,佛山市彩川合成材料有限公司新建项目,污染物排放标准适用性审核,07_污染物排放标准审核,,,,,,,,
SC_CC_005_B,SC_CC_005,B,大模型 + 标准依据库,佛山市彩川合成材料有限公司新建项目,污染物排放标准适用性审核,07_污染物排放标准审核,,,,,,,,
SC_CC_005_C,SC_CC_005,C,大模型 + 审核技能库,佛山市彩川合成材料有限公司新建项目,污染物排放标准适用性审核,07_污染物排放标准审核,,,,,,,,
SC_CC_005_D,SC_CC_005,D,大模型 + 标准依据库 + 审核技能库,佛山市彩川合成材料有限公司新建项目,污染物排放标准适用性审核,07_污染物排放标准审核,,,,,,,,
SC_CC_006_A,SC_CC_006,A,仅大模型 + 审核问题,佛山市彩川合成材料有限公司新建项目,噪声源强与预测审核,09_源强定量核算审核,,,,,,,,
SC_CC_006_B,SC_CC_006,B,大模型 + 标准依据库,佛山市彩川合成材料有限公司新建项目,噪声源强与预测审核,09_源强定量核算审核,,,,,,,,
SC_CC_006_C,SC_CC_006,C,大模型 + 审核技能库,佛山市彩川合成材料有限公司新建项目,噪声源强与预测审核,09_源强定量核算审核,,,,,,,,
SC_CC_006_D,SC_CC_006,D,大模型 + 标准依据库 + 审核技能库,佛山市彩川合成材料有限公司新建项目,噪声源强与预测审核,09_源强定量核算审核,,,,,,,,
SC_CC_007_A,SC_CC_007,A,仅大模型 + 审核问题,佛山市彩川合成材料有限公司新建项目,污染物排放标准适用性审核,07_污染物排放标准审核,,,,,,,,
SC_CC_007_B,SC_CC_007,B,大模型 + 标准依据库,佛山市彩川合成材料有限公司新建项目,污染物排放标准适用性审核,07_污染物排放标准审核,,,,,,,,
SC_CC_007_C,SC_CC_007,C,大模型 + 审核技能库,佛山市彩川合成材料有限公司新建项目,污染物排放标准适用性审核,07_污染物排放标准审核,,,,,,,,
SC_CC_007_D,SC_CC_007,D,大模型 + 标准依据库 + 审核技能库,佛山市彩川合成材料有限公司新建项目,污染物排放标准适用性审核,07_污染物排放标准审核,,,,,,,,
SC_CC_008_A,SC_CC_008,A,仅大模型 + 审核问题,佛山市彩川合成材料有限公司新建项目,行业准入与规划相符性审核,03_三线一单符合性审核,,,,,,,,
SC_CC_008_B,SC_CC_008,B,大模型 + 标准依据库,佛山市彩川合成材料有限公司新建项目,行业准入与规划相符性审核,03_三线一单符合性审核,,,,,,,,
SC_CC_008_C,SC_CC_008,C,大模型 + 审核技能库,佛山市彩川合成材料有限公司新建项目,行业准入与规划相符性审核,03_三线一单符合性审核,,,,,,,,
SC_CC_008_D,SC_CC_008,D,大模型 + 标准依据库 + 审核技能库,佛山市彩川合成材料有限公司新建项目,行业准入与规划相符性审核,03_三线一单符合性审核,,,,,,,,
SC_CC_009_A,SC_CC_009,A,仅大模型 + 审核问题,佛山市彩川合成材料有限公司新建项目,污染物排放标准适用性审核,07_污染物排放标准审核,,,,,,,,
SC_CC_009_B,SC_CC_009,B,大模型 + 标准依据库,佛山市彩川合成材料有限公司新建项目,污染物排放标准适用性审核,07_污染物排放标准审核,,,,,,,,
SC_CC_009_C,SC_CC_009,C,大模型 + 审核技能库,佛山市彩川合成材料有限公司新建项目,污染物排放标准适用性审核,07_污染物排放标准审核,,,,,,,,
SC_CC_009_D,SC_CC_009,D,大模型 + 标准依据库 + 审核技能库,佛山市彩川合成材料有限公司新建项目,污染物排放标准适用性审核,07_污染物排放标准审核,,,,,,,,
SC_ZBHM_001_A,SC_ZBHM_001,A,仅大模型 + 审核问题,佛山市祖帮海绵有限公司新建项目,环境风险与新污染物审核,99_总审核汇总,,,,,,,,
SC_ZBHM_001_B,SC_ZBHM_001,B,大模型 + 标准依据库,佛山市祖帮海绵有限公司新建项目,环境风险与新污染物审核,99_总审核汇总,,,,,,,,
SC_ZBHM_001_C,SC_ZBHM_001,C,大模型 + 审核技能库,佛山市祖帮海绵有限公司新建项目,环境风险与新污染物审核,99_总审核汇总,,,,,,,,
SC_ZBHM_001_D,SC_ZBHM_001,D,大模型 + 标准依据库 + 审核技能库,佛山市祖帮海绵有限公司新建项目,环境风险与新污染物审核,99_总审核汇总,,,,,,,,
SC_ZBHM_002_A,SC_ZBHM_002,A,仅大模型 + 审核问题,佛山市祖帮海绵有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,,,,,,
SC_ZBHM_002_B,SC_ZBHM_002,B,大模型 + 标准依据库,佛山市祖帮海绵有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,,,,,,
SC_ZBHM_002_C,SC_ZBHM_002,C,大模型 + 审核技能库,佛山市祖帮海绵有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,,,,,,
SC_ZBHM_002_D,SC_ZBHM_002,D,大模型 + 标准依据库 + 审核技能库,佛山市祖帮海绵有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,,,,,,
SC_ZBHM_003_A,SC_ZBHM_003,A,仅大模型 + 审核问题,佛山市祖帮海绵有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,,,,,,
SC_ZBHM_003_B,SC_ZBHM_003,B,大模型 + 标准依据库,佛山市祖帮海绵有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,,,,,,
SC_ZBHM_003_C,SC_ZBHM_003,C,大模型 + 审核技能库,佛山市祖帮海绵有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,,,,,,
SC_ZBHM_003_D,SC_ZBHM_003,D,大模型 + 标准依据库 + 审核技能库,佛山市祖帮海绵有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,,,,,,
SC_ZBHM_004_A,SC_ZBHM_004,A,仅大模型 + 审核问题,佛山市祖帮海绵有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,,,,,,
SC_ZBHM_004_B,SC_ZBHM_004,B,大模型 + 标准依据库,佛山市祖帮海绵有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,,,,,,
SC_ZBHM_004_C,SC_ZBHM_004,C,大模型 + 审核技能库,佛山市祖帮海绵有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,,,,,,
SC_ZBHM_004_D,SC_ZBHM_004,D,大模型 + 标准依据库 + 审核技能库,佛山市祖帮海绵有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,,,,,,
SC_ZBHM_006_A,SC_ZBHM_006,A,仅大模型 + 审核问题,佛山市祖帮海绵有限公司新建项目,环境风险与新污染物审核,99_总审核汇总,,,,,,,,
SC_ZBHM_006_B,SC_ZBHM_006,B,大模型 + 标准依据库,佛山市祖帮海绵有限公司新建项目,环境风险与新污染物审核,99_总审核汇总,,,,,,,,
SC_ZBHM_006_C,SC_ZBHM_006,C,大模型 + 审核技能库,佛山市祖帮海绵有限公司新建项目,环境风险与新污染物审核,99_总审核汇总,,,,,,,,
SC_ZBHM_006_D,SC_ZBHM_006,D,大模型 + 标准依据库 + 审核技能库,佛山市祖帮海绵有限公司新建项目,环境风险与新污染物审核,99_总审核汇总,,,,,,,,
SC_ZCSB_004_A,SC_ZCSB_004,A,仅大模型 + 审核问题,佛山市顺德区智成塑包装有限公司新建项目,VOCs与废气治理审核,09_源强定量核算审核,,,,,,,,
SC_ZCSB_004_B,SC_ZCSB_004,B,大模型 + 标准依据库,佛山市顺德区智成塑包装有限公司新建项目,VOCs与废气治理审核,09_源强定量核算审核,,,,,,,,
SC_ZCSB_004_C,SC_ZCSB_004,C,大模型 + 审核技能库,佛山市顺德区智成塑包装有限公司新建项目,VOCs与废气治理审核,09_源强定量核算审核,,,,,,,,
SC_ZCSB_004_D,SC_ZCSB_004,D,大模型 + 标准依据库 + 审核技能库,佛山市顺德区智成塑包装有限公司新建项目,VOCs与废气治理审核,09_源强定量核算审核,,,,,,,,
SC_ZCSB_005_A,SC_ZCSB_005,A,仅大模型 + 审核问题,佛山市顺德区智成塑包装有限公司新建项目,VOCs与废气治理审核,07_污染物排放标准审核,,,,,,,,
SC_ZCSB_005_B,SC_ZCSB_005,B,大模型 + 标准依据库,佛山市顺德区智成塑包装有限公司新建项目,VOCs与废气治理审核,07_污染物排放标准审核,,,,,,,,
SC_ZCSB_005_C,SC_ZCSB_005,C,大模型 + 审核技能库,佛山市顺德区智成塑包装有限公司新建项目,VOCs与废气治理审核,07_污染物排放标准审核,,,,,,,,
SC_ZCSB_005_D,SC_ZCSB_005,D,大模型 + 标准依据库 + 审核技能库,佛山市顺德区智成塑包装有限公司新建项目,VOCs与废气治理审核,07_污染物排放标准审核,,,,,,,,
SC_ZXYP_001_A,SC_ZXYP_001,A,仅大模型 + 审核问题,佛山志兴盈包装有限公司新建项目,行业准入与规划相符性审核,03_三线一单符合性审核,,,,,,,,
SC_ZXYP_001_B,SC_ZXYP_001,B,大模型 + 标准依据库,佛山志兴盈包装有限公司新建项目,行业准入与规划相符性审核,03_三线一单符合性审核,,,,,,,,
SC_ZXYP_001_C,SC_ZXYP_001,C,大模型 + 审核技能库,佛山志兴盈包装有限公司新建项目,行业准入与规划相符性审核,03_三线一单符合性审核,,,,,,,,
SC_ZXYP_001_D,SC_ZXYP_001,D,大模型 + 标准依据库 + 审核技能库,佛山志兴盈包装有限公司新建项目,行业准入与规划相符性审核,03_三线一单符合性审核,,,,,,,,
SC_ZXYP_002_A,SC_ZXYP_002,A,仅大模型 + 审核问题,佛山志兴盈包装有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,,,,,,
SC_ZXYP_002_B,SC_ZXYP_002,B,大模型 + 标准依据库,佛山志兴盈包装有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,,,,,,
SC_ZXYP_002_C,SC_ZXYP_002,C,大模型 + 审核技能库,佛山志兴盈包装有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,,,,,,
SC_ZXYP_002_D,SC_ZXYP_002,D,大模型 + 标准依据库 + 审核技能库,佛山志兴盈包装有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,,,,,,
SC_ZXYP_003_A,SC_ZXYP_003,A,仅大模型 + 审核问题,佛山志兴盈包装有限公司新建项目,VOCs与废气治理审核,07_污染物排放标准审核,,,,,,,,
SC_ZXYP_003_B,SC_ZXYP_003,B,大模型 + 标准依据库,佛山志兴盈包装有限公司新建项目,VOCs与废气治理审核,07_污染物排放标准审核,,,,,,,,
SC_ZXYP_003_C,SC_ZXYP_003,C,大模型 + 审核技能库,佛山志兴盈包装有限公司新建项目,VOCs与废气治理审核,07_污染物排放标准审核,,,,,,,,
SC_ZXYP_003_D,SC_ZXYP_003,D,大模型 + 标准依据库 + 审核技能库,佛山志兴盈包装有限公司新建项目,VOCs与废气治理审核,07_污染物排放标准审核,,,,,,,,
SC_ZXYP_005_A,SC_ZXYP_005,A,仅大模型 + 审核问题,佛山志兴盈包装有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,,,,,,
SC_ZXYP_005_B,SC_ZXYP_005,B,大模型 + 标准依据库,佛山志兴盈包装有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,,,,,,
SC_ZXYP_005_C,SC_ZXYP_005,C,大模型 + 审核技能库,佛山志兴盈包装有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,,,,,,
SC_ZXYP_005_D,SC_ZXYP_005,D,大模型 + 标准依据库 + 审核技能库,佛山志兴盈包装有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,,,,,,
SC_ZXYP_006_A,SC_ZXYP_006,A,仅大模型 + 审核问题,佛山志兴盈包装有限公司新建项目,源强核算与预测参数审核,09_源强定量核算审核,,,,,,,,
SC_ZXYP_006_B,SC_ZXYP_006,B,大模型 + 标准依据库,佛山志兴盈包装有限公司新建项目,源强核算与预测参数审核,09_源强定量核算审核,,,,,,,,
SC_ZXYP_006_C,SC_ZXYP_006,C,大模型 + 审核技能库,佛山志兴盈包装有限公司新建项目,源强核算与预测参数审核,09_源强定量核算审核,,,,,,,,
SC_ZXYP_006_D,SC_ZXYP_006,D,大模型 + 标准依据库 + 审核技能库,佛山志兴盈包装有限公司新建项目,源强核算与预测参数审核,09_源强定量核算审核,,,,,,,,
SC_ZXYP_007_A,SC_ZXYP_007,A,仅大模型 + 审核问题,佛山志兴盈包装有限公司新建项目,环境风险与新污染物审核,99_总审核汇总,,,,,,,,
SC_ZXYP_007_B,SC_ZXYP_007,B,大模型 + 标准依据库,佛山志兴盈包装有限公司新建项目,环境风险与新污染物审核,99_总审核汇总,,,,,,,,
SC_ZXYP_007_C,SC_ZXYP_007,C,大模型 + 审核技能库,佛山志兴盈包装有限公司新建项目,环境风险与新污染物审核,99_总审核汇总,,,,,,,,
SC_ZXYP_007_D,SC_ZXYP_007,D,大模型 + 标准依据库 + 审核技能库,佛山志兴盈包装有限公司新建项目,环境风险与新污染物审核,99_总审核汇总,,,,,,,,
SC_ZXYP_008_A,SC_ZXYP_008,A,仅大模型 + 审核问题,佛山志兴盈包装有限公司新建项目,VOCs与废气治理审核,15_VOCs总量控制审核,,,,,,,,
SC_ZXYP_008_B,SC_ZXYP_008,B,大模型 + 标准依据库,佛山志兴盈包装有限公司新建项目,VOCs与废气治理审核,15_VOCs总量控制审核,,,,,,,,
SC_ZXYP_008_C,SC_ZXYP_008,C,大模型 + 审核技能库,佛山志兴盈包装有限公司新建项目,VOCs与废气治理审核,15_VOCs总量控制审核,,,,,,,,
SC_ZXYP_008_D,SC_ZXYP_008,D,大模型 + 标准依据库 + 审核技能库,佛山志兴盈包装有限公司新建项目,VOCs与废气治理审核,15_VOCs总量控制审核,,,,,,,,
SC_CXSL_001_A,SC_CXSL_001,A,仅大模型 + 审核问题,佛山辰僖塑料有限公司新建项目,行业准入与规划相符性审核,03_三线一单符合性审核,,,,,,,,
SC_CXSL_001_B,SC_CXSL_001,B,大模型 + 标准依据库,佛山辰僖塑料有限公司新建项目,行业准入与规划相符性审核,03_三线一单符合性审核,,,,,,,,
SC_CXSL_001_C,SC_CXSL_001,C,大模型 + 审核技能库,佛山辰僖塑料有限公司新建项目,行业准入与规划相符性审核,03_三线一单符合性审核,,,,,,,,
SC_CXSL_001_D,SC_CXSL_001,D,大模型 + 标准依据库 + 审核技能库,佛山辰僖塑料有限公司新建项目,行业准入与规划相符性审核,03_三线一单符合性审核,,,,,,,,
SC_CXSL_002_A,SC_CXSL_002,A,仅大模型 + 审核问题,佛山辰僖塑料有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,,,,,,
SC_CXSL_002_B,SC_CXSL_002,B,大模型 + 标准依据库,佛山辰僖塑料有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,,,,,,
SC_CXSL_002_C,SC_CXSL_002,C,大模型 + 审核技能库,佛山辰僖塑料有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,,,,,,
SC_CXSL_002_D,SC_CXSL_002,D,大模型 + 标准依据库 + 审核技能库,佛山辰僖塑料有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,,,,,,
SC_CXSL_003_A,SC_CXSL_003,A,仅大模型 + 审核问题,佛山辰僖塑料有限公司新建项目,VOCs与废气治理审核,15_VOCs总量控制审核,,,,,,,,
SC_CXSL_003_B,SC_CXSL_003,B,大模型 + 标准依据库,佛山辰僖塑料有限公司新建项目,VOCs与废气治理审核,15_VOCs总量控制审核,,,,,,,,
SC_CXSL_003_C,SC_CXSL_003,C,大模型 + 审核技能库,佛山辰僖塑料有限公司新建项目,VOCs与废气治理审核,15_VOCs总量控制审核,,,,,,,,
SC_CXSL_003_D,SC_CXSL_003,D,大模型 + 标准依据库 + 审核技能库,佛山辰僖塑料有限公司新建项目,VOCs与废气治理审核,15_VOCs总量控制审核,,,,,,,,
SC_CXSL_004_A,SC_CXSL_004,A,仅大模型 + 审核问题,佛山辰僖塑料有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,,,,,,
SC_CXSL_004_B,SC_CXSL_004,B,大模型 + 标准依据库,佛山辰僖塑料有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,,,,,,
SC_CXSL_004_C,SC_CXSL_004,C,大模型 + 审核技能库,佛山辰僖塑料有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,,,,,,
SC_CXSL_004_D,SC_CXSL_004,D,大模型 + 标准依据库 + 审核技能库,佛山辰僖塑料有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,,,,,,
SC_CXSL_005_A,SC_CXSL_005,A,仅大模型 + 审核问题,佛山辰僖塑料有限公司新建项目,VOCs与废气治理审核,15_VOCs总量控制审核,,,,,,,,
SC_CXSL_005_B,SC_CXSL_005,B,大模型 + 标准依据库,佛山辰僖塑料有限公司新建项目,VOCs与废气治理审核,15_VOCs总量控制审核,,,,,,,,
SC_CXSL_005_C,SC_CXSL_005,C,大模型 + 审核技能库,佛山辰僖塑料有限公司新建项目,VOCs与废气治理审核,15_VOCs总量控制审核,,,,,,,,
SC_CXSL_005_D,SC_CXSL_005,D,大模型 + 标准依据库 + 审核技能库,佛山辰僖塑料有限公司新建项目,VOCs与废气治理审核,15_VOCs总量控制审核,,,,,,,,
SC_CXSL_006_A,SC_CXSL_006,A,仅大模型 + 审核问题,佛山辰僖塑料有限公司新建项目,VOCs与废气治理审核,10_废气收集形式审核 / 11_废气设计风量审核,,,,,,,,
SC_CXSL_006_B,SC_CXSL_006,B,大模型 + 标准依据库,佛山辰僖塑料有限公司新建项目,VOCs与废气治理审核,10_废气收集形式审核 / 11_废气设计风量审核,,,,,,,,
SC_CXSL_006_C,SC_CXSL_006,C,大模型 + 审核技能库,佛山辰僖塑料有限公司新建项目,VOCs与废气治理审核,10_废气收集形式审核 / 11_废气设计风量审核,,,,,,,,
SC_CXSL_006_D,SC_CXSL_006,D,大模型 + 标准依据库 + 审核技能库,佛山辰僖塑料有限公司新建项目,VOCs与废气治理审核,10_废气收集形式审核 / 11_废气设计风量审核,,,,,,,,
SC_CXSL_007_A,SC_CXSL_007,A,仅大模型 + 审核问题,佛山辰僖塑料有限公司新建项目,VOCs与废气治理审核,15_VOCs总量控制审核,,,,,,,,
SC_CXSL_007_B,SC_CXSL_007,B,大模型 + 标准依据库,佛山辰僖塑料有限公司新建项目,VOCs与废气治理审核,15_VOCs总量控制审核,,,,,,,,
SC_CXSL_007_C,SC_CXSL_007,C,大模型 + 审核技能库,佛山辰僖塑料有限公司新建项目,VOCs与废气治理审核,15_VOCs总量控制审核,,,,,,,,
SC_CXSL_007_D,SC_CXSL_007,D,大模型 + 标准依据库 + 审核技能库,佛山辰僖塑料有限公司新建项目,VOCs与废气治理审核,15_VOCs总量控制审核,,,,,,,,
SC_CXSL_008_A,SC_CXSL_008,A,仅大模型 + 审核问题,佛山辰僖塑料有限公司新建项目,污染物排放标准适用性审核,07_污染物排放标准审核,,,,,,,,
SC_CXSL_008_B,SC_CXSL_008,B,大模型 + 标准依据库,佛山辰僖塑料有限公司新建项目,污染物排放标准适用性审核,07_污染物排放标准审核,,,,,,,,
SC_CXSL_008_C,SC_CXSL_008,C,大模型 + 审核技能库,佛山辰僖塑料有限公司新建项目,污染物排放标准适用性审核,07_污染物排放标准审核,,,,,,,,
SC_CXSL_008_D,SC_CXSL_008,D,大模型 + 标准依据库 + 审核技能库,佛山辰僖塑料有限公司新建项目,污染物排放标准适用性审核,07_污染物排放标准审核,,,,,,,,
SC_HMHX_003_A,SC_HMHX_003,A,仅大模型 + 审核问题,和默化学（佛山）有限公司新建项目,VOCs与废气治理审核,07_污染物排放标准审核,,,,,,,,
SC_HMHX_003_B,SC_HMHX_003,B,大模型 + 标准依据库,和默化学（佛山）有限公司新建项目,VOCs与废气治理审核,07_污染物排放标准审核,,,,,,,,
SC_HMHX_003_C,SC_HMHX_003,C,大模型 + 审核技能库,和默化学（佛山）有限公司新建项目,VOCs与废气治理审核,07_污染物排放标准审核,,,,,,,,
SC_HMHX_003_D,SC_HMHX_003,D,大模型 + 标准依据库 + 审核技能库,和默化学（佛山）有限公司新建项目,VOCs与废气治理审核,07_污染物排放标准审核,,,,,,,,
SC_HMHX_004_A,SC_HMHX_004,A,仅大模型 + 审核问题,和默化学（佛山）有限公司新建项目,行业准入与规划相符性审核,03_三线一单符合性审核,,,,,,,,
SC_HMHX_004_B,SC_HMHX_004,B,大模型 + 标准依据库,和默化学（佛山）有限公司新建项目,行业准入与规划相符性审核,03_三线一单符合性审核,,,,,,,,
SC_HMHX_004_C,SC_HMHX_004,C,大模型 + 审核技能库,和默化学（佛山）有限公司新建项目,行业准入与规划相符性审核,03_三线一单符合性审核,,,,,,,,
SC_HMHX_004_D,SC_HMHX_004,D,大模型 + 标准依据库 + 审核技能库,和默化学（佛山）有限公司新建项目,行业准入与规划相符性审核,03_三线一单符合性审核,,,,,,,,
SC_HMHX_006_A,SC_HMHX_006,A,仅大模型 + 审核问题,和默化学（佛山）有限公司新建项目,废水处理与委外处置审核,07_污染物排放标准审核,,,,,,,,
SC_HMHX_006_B,SC_HMHX_006,B,大模型 + 标准依据库,和默化学（佛山）有限公司新建项目,废水处理与委外处置审核,07_污染物排放标准审核,,,,,,,,
