run_id,question_id,group,report_context_sha256,rag_context_sha256,skill_id,skill_sha256,status,skill_snapshot_version,basis_status,conclusion,manual_review_needed
PL001_Emission_固体_C,PL001_Emission_固体,C,0c46dbbad74c1ef8ee70b9ff170c4f5409557899d0f87fa59a9eae77da2df240,,07,993cfc55465bebf0257bfcb8b29d3c4900393e59c6e0dafd07295a094acbd5c5,ready_input_freeze,v2.1_pr17_acceptance,,,
PL001_Emission_固体_D,PL001_Emission_固体,D,0c46dbbad74c1ef8ee70b9ff170c4f5409557899d0f87fa59a9eae77da2df240,97d7772337617ff76c990806e13f0d8b7b2f6dc167e00f283e4fd7e30937edd3,07,993cfc55465bebf0257bfcb8b29d3c4900393e59c6e0dafd07295a094acbd5c5,ready_input_freeze,v2.1_pr17_acceptance,,,
PL002_V01_Q01_A,PL002_V01_Q01,A,1165e4d65f8d48f9640be87e9244c6a6d554116c1adf2166b5c92a47da349057,,,,ready_input_freeze,not_loaded,,,
PL002_V01_Q01_B,PL002_V01_Q01,B,1165e4d65f8d48f9640be87e9244c6a6d554116c1adf2166b5c92a47da349057,3527db79c2f39f91070bf37807dd140f7a76527068e0ef3d46798d2684eec231,,,ready_input_freeze,not_loaded,,,
PL002_V01_Q01_C,PL002_V01_Q01,C,1165e4d65f8d48f9640be87e9244c6a6d554116c1adf2166b5c92a47da349057,,01,ef0b20709c05fdd2ff0c422c2294066f260970fa1fb387a3269433cc9bba4094,ready_input_freeze,v2.1_pr17_acceptance,,,
PL002_V01_Q01_D,PL002_V01_Q01,D,1165e4d65f8d48f9640be87e9244c6a6d554116c1adf2166b5c92a47da349057,3527db79c2f39f91070bf37807dd140f7a76527068e0ef3d46798d2684eec231,01,ef0b20709c05fdd2ff0c422c2294066f260970fa1fb387a3269433cc9bba4094,ready_input_freeze,v2.1_pr17_acceptance,,,
PL002_EnvQuality_Q01_A,PL002_EnvQuality_Q01,A,1165e4d65f8d48f9640be87e9244c6a6d554116c1adf2166b5c92a47da349057,,,,ready_input_freeze,not_loaded,,,
PL002_EnvQuality_Q01_B,PL002_EnvQuality_Q01,B,1165e4d65f8d48f9640be87e9244c6a6d554116c1adf2166b5c92a47da349057,434b1db34a4f72d30d7faeebe881dbd311514a68cf054e5b4399e9ae4b6ab9d1,,,ready_input_freeze,not_loaded,,,
PL002_EnvQuality_Q01_C,PL002_EnvQuality_Q01,C,1165e4d65f8d48f9640be87e9244c6a6d554116c1adf2166b5c92a47da349057,,05,0f25ae873f7e2ddebdaba7cbae36bdc362425128b246735171f6caf2335ed2e3,ready_input_freeze,v2.1_pr17_acceptance,,,
PL002_EnvQuality_Q01_D,PL002_EnvQuality_Q01,D,1165e4d65f8d48f9640be87e9244c6a6d554116c1adf2166b5c92a47da349057,434b1db34a4f72d30d7faeebe881dbd311514a68cf054e5b4399e9ae4b6ab9d1,05,0f25ae873f7e2ddebdaba7cbae36bdc362425128b246735171f6caf2335ed2e3,ready_input_freeze,v2.1_pr17_acceptance,,,
PL002_Emission_大气_A,PL002_Emission_大气,A,1165e4d65f8d48f9640be87e9244c6a6d554116c1adf2166b5c92a47da349057,,,,ready_input_freeze,not_loaded,,,
PL002_Emission_大气_B,PL002_Emission_大气,B,1165e4d65f8d48f9640be87e9244c6a6d554116c1adf2166b5c92a47da349057,f18007d25e425761cd21f1d3981bbad376d7831a8dd4902c25cd4e67ca802477,,,ready_input_freeze,not_loaded,,,
PL002_Emission_大气_C,PL002_Emission_大气,C,1165e4d65f8d48f9640be87e9244c6a6d554116c1adf2166b5c92a47da349057,,07,993cfc55465bebf0257bfcb8b29d3c4900393e59c6e0dafd07295a094acbd5c5,ready_input_freeze,v2.1_pr17_acceptance,,,
PL002_Emission_大气_D,PL002_Emission_大气,D,1165e4d65f8d48f9640be87e9244c6a6d554116c1adf2166b5c92a47da349057,f18007d25e425761cd21f1d3981bbad376d7831a8dd4902c25cd4e67ca802477,07,993cfc55465bebf0257bfcb8b29d3c4900393e59c6e0dafd07295a094acbd5c5,ready_input_freeze,v2.1_pr17_acceptance,,,
PL002_Emission_噪声_A,PL002_Emission_噪声,A,1165e4d65f8d48f9640be87e9244c6a6d554116c1adf2166b5c92a47da349057,,,,ready_input_freeze,not_loaded,,,
PL002_Emission_噪声_B,PL002_Emission_噪声,B,1165e4d65f8d48f9640be87e9244c6a6d554116c1adf2166b5c92a47da349057,050931a64d3a7d8ee961ad44da41f87e888c062afd1a7ec3915638197727258c,,,ready_input_freeze,not_loaded,,,
PL002_Emission_噪声_C,PL002_Emission_噪声,C,1165e4d65f8d48f9640be87e9244c6a6d554116c1adf2166b5c92a47da349057,,07,993cfc55465bebf0257bfcb8b29d3c4900393e59c6e0dafd07295a094acbd5c5,ready_input_freeze,v2.1_pr17_acceptance,,,
PL002_Emission_噪声_D,PL002_Emission_噪声,D,1165e4d65f8d48f9640be87e9244c6a6d554116c1adf2166b5c92a47da349057,050931a64d3a7d8ee961ad44da41f87e888c062afd1a7ec3915638197727258c,07,993cfc55465bebf0257bfcb8b29d3c4900393e59c6e0dafd07295a094acbd5c5,ready_input_freeze,v2.1_pr17_acceptance,,,
PL002_Emission_固体_A,PL002_Emission_固体,A,1165e4d65f8d48f9640be87e9244c6a6d554116c1adf2166b5c92a47da349057,,,,ready_input_freeze,not_loaded,,,
PL002_Emission_固体_B,PL002_Emission_固体,B,1165e4d65f8d48f9640be87e9244c6a6d554116c1adf2166b5c92a47da349057,7fa5b5a92b2d8bae6b80eeda4c95bb4f5c162af355ea5a11fb4e5735e6d1aa76,,,ready_input_freeze,not_loaded,,,
PL002_Emission_固体_C,PL002_Emission_固体,C,1165e4d65f8d48f9640be87e9244c6a6d554116c1adf2166b5c92a47da349057,,07,993cfc55465bebf0257bfcb8b29d3c4900393e59c6e0dafd07295a094acbd5c5,ready_input_freeze,v2.1_pr17_acceptance,,,
PL002_Emission_固体_D,PL002_Emission_固体,D,1165e4d65f8d48f9640be87e9244c6a6d554116c1adf2166b5c92a47da349057,7fa5b5a92b2d8bae6b80eeda4c95bb4f5c162af355ea5a11fb4e5735e6d1aa76,07,993cfc55465bebf0257bfcb8b29d3c4900393e59c6e0dafd07295a094acbd5c5,ready_input_freeze,v2.1_pr17_acceptance,,,
PL003_V01_Q01_A,PL003_V01_Q01,A,fb87c575e78cb58c32ebebbb40445fd94f6335d204277351440b18bd044f98bf,,,,ready_input_freeze,not_loaded,,,
PL003_V01_Q01_B,PL003_V01_Q01,B,fb87c575e78cb58c32ebebbb40445fd94f6335d204277351440b18bd044f98bf,0a66529c35486375227ed1d29c09adc0741ec05d211a8b1c3af65fda014adae3,,,ready_input_freeze,not_loaded,,,
PL003_V01_Q01_C,PL003_V01_Q01,C,fb87c575e78cb58c32ebebbb40445fd94f6335d204277351440b18bd044f98bf,,01,ef0b20709c05fdd2ff0c422c2294066f260970fa1fb387a3269433cc9bba4094,ready_input_freeze,v2.1_pr17_acceptance,,,
PL003_V01_Q01_D,PL003_V01_Q01,D,fb87c575e78cb58c32ebebbb40445fd94f6335d204277351440b18bd044f98bf,0a66529c35486375227ed1d29c09adc0741ec05d211a8b1c3af65fda014adae3,01,ef0b20709c05fdd2ff0c422c2294066f260970fa1fb387a3269433cc9bba4094,ready_input_freeze,v2.1_pr17_acceptance,,,
PL003_V01_Q03_A,PL003_V01_Q03,A,fb87c575e78cb58c32ebebbb40445fd94f6335d204277351440b18bd044f98bf,,,,ready_input_freeze,not_loaded,,,
PL003_V01_Q03_B,PL003_V01_Q03,B,fb87c575e78cb58c32ebebbb40445fd94f6335d204277351440b18bd044f98bf,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,ready_input_freeze,not_loaded,,,
PL003_V01_Q03_C,PL003_V01_Q03,C,fb87c575e78cb58c32ebebbb40445fd94f6335d204277351440b18bd044f98bf,,02,811639093e8f676e82e6e0e14cb5bc1dad1a45ba6d2fa3a421c94945b04f8eb4,ready_input_freeze,v2.1_pr17_acceptance,,,
PL003_V01_Q03_D,PL003_V01_Q03,D,fb87c575e78cb58c32ebebbb40445fd94f6335d204277351440b18bd044f98bf,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,02,811639093e8f676e82e6e0e14cb5bc1dad1a45ba6d2fa3a421c94945b04f8eb4,ready_input_freeze,v2.1_pr17_acceptance,,,
PL003_Emission_水污_A,PL003_Emission_水污,A,fb87c575e78cb58c32ebebbb40445fd94f6335d204277351440b18bd044f98bf,,,,ready_input_freeze,not_loaded,,,
PL003_Emission_水污_B,PL003_Emission_水污,B,fb87c575e78cb58c32ebebbb40445fd94f6335d204277351440b18bd044f98bf,4011e85e9d755c3f21dcf243da4782e1b351789952dcf0551bae9359e8fc28f9,,,ready_input_freeze,not_loaded,,,
PL003_Emission_水污_C,PL003_Emission_水污,C,fb87c575e78cb58c32ebebbb40445fd94f6335d204277351440b18bd044f98bf,,07,993cfc55465bebf0257bfcb8b29d3c4900393e59c6e0dafd07295a094acbd5c5,ready_input_freeze,v2.1_pr17_acceptance,,,
PL003_Emission_水污_D,PL003_Emission_水污,D,fb87c575e78cb58c32ebebbb40445fd94f6335d204277351440b18bd044f98bf,4011e85e9d755c3f21dcf243da4782e1b351789952dcf0551bae9359e8fc28f9,07,993cfc55465bebf0257bfcb8b29d3c4900393e59c6e0dafd07295a094acbd5c5,ready_input_freeze,v2.1_pr17_acceptance,,,
PL003_Emission_噪声_A,PL003_Emission_噪声,A,fb87c575e78cb58c32ebebbb40445fd94f6335d204277351440b18bd044f98bf,,,,ready_input_freeze,not_loaded,,,
PL003_Emission_噪声_B,PL003_Emission_噪声,B,fb87c575e78cb58c32ebebbb40445fd94f6335d204277351440b18bd044f98bf,8e124113755e849fb3b6ae36da9674c0515a841e5c76a2cbad64f8c6edbab759,,,ready_input_freeze,not_loaded,,,
PL003_Emission_噪声_C,PL003_Emission_噪声,C,fb87c575e78cb58c32ebebbb40445fd94f6335d204277351440b18bd044f98bf,,07,993cfc55465bebf0257bfcb8b29d3c4900393e59c6e0dafd07295a094acbd5c5,ready_input_freeze,v2.1_pr17_acceptance,,,
PL003_Emission_噪声_D,PL003_Emission_噪声,D,fb87c575e78cb58c32ebebbb40445fd94f6335d204277351440b18bd044f98bf,8e124113755e849fb3b6ae36da9674c0515a841e5c76a2cbad64f8c6edbab759,07,993cfc55465bebf0257bfcb8b29d3c4900393e59c6e0dafd07295a094acbd5c5,ready_input_freeze,v2.1_pr17_acceptance,,,
PL003_Emission_固体_A,PL003_Emission_固体,A,fb87c575e78cb58c32ebebbb40445fd94f6335d204277351440b18bd044f98bf,,,,ready_input_freeze,not_loaded,,,
PL003_Emission_固体_B,PL003_Emission_固体,B,fb87c575e78cb58c32ebebbb40445fd94f6335d204277351440b18bd044f98bf,859640874bfaa2281097d505c04fcecae9700c146e0bcc3eec8b480de91235f7,,,ready_input_freeze,not_loaded,,,
PL003_Emission_固体_C,PL003_Emission_固体,C,fb87c575e78cb58c32ebebbb40445fd94f6335d204277351440b18bd044f98bf,,07,993cfc55465bebf0257bfcb8b29d3c4900393e59c6e0dafd07295a094acbd5c5,ready_input_freeze,v2.1_pr17_acceptance,,,
PL003_Emission_固体_D,PL003_Emission_固体,D,fb87c575e78cb58c32ebebbb40445fd94f6335d204277351440b18bd044f98bf,859640874bfaa2281097d505c04fcecae9700c146e0bcc3eec8b480de91235f7,07,993cfc55465bebf0257bfcb8b29d3c4900393e59c6e0dafd07295a094acbd5c5,ready_input_freeze,v2.1_pr17_acceptance,,,
PL004_V01_Q01_A,PL004_V01_Q01,A,723ee3e7cf7efa7caaffa8d83f823931c9f6c15e23fa278bea4cf69b8cd9e669,,,,ready_input_freeze,not_loaded,,,
PL004_V01_Q01_B,PL004_V01_Q01,B,723ee3e7cf7efa7caaffa8d83f823931c9f6c15e23fa278bea4cf69b8cd9e669,381297ec4afad97ffe95f8e9475f5509dc7a48b37dbe5742d350abbdb4825fcf,,,ready_input_freeze,not_loaded,,,
PL004_V01_Q01_C,PL004_V01_Q01,C,723ee3e7cf7efa7caaffa8d83f823931c9f6c15e23fa278bea4cf69b8cd9e669,,01,ef0b20709c05fdd2ff0c422c2294066f260970fa1fb387a3269433cc9bba4094,ready_input_freeze,v2.1_pr17_acceptance,,,
PL004_V01_Q01_D,PL004_V01_Q01,D,723ee3e7cf7efa7caaffa8d83f823931c9f6c15e23fa278bea4cf69b8cd9e669,381297ec4afad97ffe95f8e9475f5509dc7a48b37dbe5742d350abbdb4825fcf,01,ef0b20709c05fdd2ff0c422c2294066f260970fa1fb387a3269433cc9bba4094,ready_input_freeze,v2.1_pr17_acceptance,,,
PL004_Emission_水污_A,PL004_Emission_水污,A,723ee3e7cf7efa7caaffa8d83f823931c9f6c15e23fa278bea4cf69b8cd9e669,,,,blocked_primary_source_gap,not_loaded,insufficient,无法判断,true
PL004_Emission_水污_B,PL004_Emission_水污,B,723ee3e7cf7efa7caaffa8d83f823931c9f6c15e23fa278bea4cf69b8cd9e669,26cc2d14771e950166272fe14daf2344261526d3e91ce3597a04a84bb5943b2d,,,blocked_primary_source_gap,not_loaded,insufficient,无法判断,true
PL004_Emission_水污_C,PL004_Emission_水污,C,723ee3e7cf7efa7caaffa8d83f823931c9f6c15e23fa278bea4cf69b8cd9e669,,07,993cfc55465bebf0257bfcb8b29d3c4900393e59c6e0dafd07295a094acbd5c5,blocked_primary_source_gap,v2.1_pr17_acceptance,insufficient,无法判断,true
PL004_Emission_水污_D,PL004_Emission_水污,D,723ee3e7cf7efa7caaffa8d83f823931c9f6c15e23fa278bea4cf69b8cd9e669,26cc2d14771e950166272fe14daf2344261526d3e91ce3597a04a84bb5943b2d,07,993cfc55465bebf0257bfcb8b29d3c4900393e59c6e0dafd07295a094acbd5c5,blocked_primary_source_gap,v2.1_pr17_acceptance,insufficient,无法判断,true
PL004_Emission_噪声_A,PL004_Emission_噪声,A,723ee3e7cf7efa7caaffa8d83f823931c9f6c15e23fa278bea4cf69b8cd9e669,,,,ready_input_freeze,not_loaded,,,
PL004_Emission_噪声_B,PL004_Emission_噪声,B,723ee3e7cf7efa7caaffa8d83f823931c9f6c15e23fa278bea4cf69b8cd9e669,51b7517dfb183a20078f737473490b8988263bacd365b5e0b7458edd40dbf52a,,,ready_input_freeze,not_loaded,,,
PL004_Emission_噪声_C,PL004_Emission_噪声,C,723ee3e7cf7efa7caaffa8d83f823931c9f6c15e23fa278bea4cf69b8cd9e669,,07,993cfc55465bebf0257bfcb8b29d3c4900393e59c6e0dafd07295a094acbd5c5,ready_input_freeze,v2.1_pr17_acceptance,,,
PL004_Emission_噪声_D,PL004_Emission_噪声,D,723ee3e7cf7efa7caaffa8d83f823931c9f6c15e23fa278bea4cf69b8cd9e669,51b7517dfb183a20078f737473490b8988263bacd365b5e0b7458edd40dbf52a,07,993cfc55465bebf0257bfcb8b29d3c4900393e59c6e0dafd07295a094acbd5c5,ready_input_freeze,v2.1_pr17_acceptance,,,
PL004_Emission_固体_A,PL004_Emission_固体,A,723ee3e7cf7efa7caaffa8d83f823931c9f6c15e23fa278bea4cf69b8cd9e669,,,,ready_input_freeze,not_loaded,,,
PL004_Emission_固体_B,PL004_Emission_固体,B,723ee3e7cf7efa7caaffa8d83f823931c9f6c15e23fa278bea4cf69b8cd9e669,43b43265b530e637920402fe0f97aace446650924d14fa26964df18a0611b11a,,,ready_input_freeze,not_loaded,,,
PL004_Emission_固体_C,PL004_Emission_固体,C,723ee3e7cf7efa7caaffa8d83f823931c9f6c15e23fa278bea4cf69b8cd9e669,,07,993cfc55465bebf0257bfcb8b29d3c4900393e59c6e0dafd07295a094acbd5c5,ready_input_freeze,v2.1_pr17_acceptance,,,
PL004_Emission_固体_D,PL004_Emission_固体,D,723ee3e7cf7efa7caaffa8d83f823931c9f6c15e23fa278bea4cf69b8cd9e669,43b43265b530e637920402fe0f97aace446650924d14fa26964df18a0611b11a,07,993cfc55465bebf0257bfcb8b29d3c4900393e59c6e0dafd07295a094acbd5c5,ready_input_freeze,v2.1_pr17_acceptance,,,
PL005_Emission_水污_A,PL005_Emission_水污,A,e499c7b68b53f532ca987fa87ac627fd5e126995ea11c13bb23b0467fc79a697,,,,blocked_primary_source_gap,not_loaded,insufficient,无法判断,true
PL005_Emission_水污_B,PL005_Emission_水污,B,e499c7b68b53f532ca987fa87ac627fd5e126995ea11c13bb23b0467fc79a697,c6a86b4506c1f21235a3a5d98e9eb2077b95bded75b9194aa3f411d4e4fe2a0c,,,blocked_primary_source_gap,not_loaded,insufficient,无法判断,true
PL005_Emission_水污_C,PL005_Emission_水污,C,e499c7b68b53f532ca987fa87ac627fd5e126995ea11c13bb23b0467fc79a697,,07,993cfc55465bebf0257bfcb8b29d3c4900393e59c6e0dafd07295a094acbd5c5,blocked_primary_source_gap,v2.1_pr17_acceptance,insufficient,无法判断,true
PL005_Emission_水污_D,PL005_Emission_水污,D,e499c7b68b53f532ca987fa87ac627fd5e126995ea11c13bb23b0467fc79a697,c6a86b4506c1f21235a3a5d98e9eb2077b95bded75b9194aa3f411d4e4fe2a0c,07,993cfc55465bebf0257bfcb8b29d3c4900393e59c6e0dafd07295a094acbd5c5,blocked_primary_source_gap,v2.1_pr17_acceptance,insufficient,无法判断,true
PL005_Emission_噪声_A,PL005_Emission_噪声,A,e499c7b68b53f532ca987fa87ac627fd5e126995ea11c13bb23b0467fc79a697,,,,ready_input_freeze,not_loaded,,,
PL005_Emission_噪声_B,PL005_Emission_噪声,B,e499c7b68b53f532ca987fa87ac627fd5e126995ea11c13bb23b0467fc79a697,f050490e61f30007ff98bb809ad0d66ff576d5d009d773c39c2563ac3eedde1f,,,ready_input_freeze,not_loaded,,,
PL005_Emission_噪声_C,PL005_Emission_噪声,C,e499c7b68b53f532ca987fa87ac627fd5e126995ea11c13bb23b0467fc79a697,,07,993cfc55465bebf0257bfcb8b29d3c4900393e59c6e0dafd07295a094acbd5c5,ready_input_freeze,v2.1_pr17_acceptance,,,
PL005_Emission_噪声_D,PL005_Emission_噪声,D,e499c7b68b53f532ca987fa87ac627fd5e126995ea11c13bb23b0467fc79a697,f050490e61f30007ff98bb809ad0d66ff576d5d009d773c39c2563ac3eedde1f,07,993cfc55465bebf0257bfcb8b29d3c4900393e59c6e0dafd07295a094acbd5c5,ready_input_freeze,v2.1_pr17_acceptance,,,
PL005_Emission_固体_A,PL005_Emission_固体,A,e499c7b68b53f532ca987fa87ac627fd5e126995ea11c13bb23b0467fc79a697,,,,ready_input_freeze,not_loaded,,,
PL005_Emission_固体_B,PL005_Emission_固体,B,e499c7b68b53f532ca987fa87ac627fd5e126995ea11c13bb23b0467fc79a697,1ac4bd463de8c59804d4d054aa9d72cd6c9061cfce025e1768059f6ed7c69518,,,ready_input_freeze,not_loaded,,,
PL005_Emission_固体_C,PL005_Emission_固体,C,e499c7b68b53f532ca987fa87ac627fd5e126995ea11c13bb23b0467fc79a697,,07,993cfc55465bebf0257bfcb8b29d3c4900393e59c6e0dafd07295a094acbd5c5,ready_input_freeze,v2.1_pr17_acceptance,,,
PL005_Emission_固体_D,PL005_Emission_固体,D,e499c7b68b53f532ca987fa87ac627fd5e126995ea11c13bb23b0467fc79a697,1ac4bd463de8c59804d4d054aa9d72cd6c9061cfce025e1768059f6ed7c69518,07,993cfc55465bebf0257bfcb8b29d3c4900393e59c6e0dafd07295a094acbd5c5,ready_input_freeze,v2.1_pr17_acceptance,,,
PL006_EnvQuality_Q01_A,PL006_EnvQuality_Q01,A,63470d6e5c91f327841ba66323b13adbee9de1ab2fdb7b53b11419be2c9056d3,,,,ready_input_freeze,not_loaded,,,
PL006_EnvQuality_Q01_B,PL006_EnvQuality_Q01,B,63470d6e5c91f327841ba66323b13adbee9de1ab2fdb7b53b11419be2c9056d3,190529f864dccb6fa6951a7271fb6f6966b91f3af726e2fddbe9e83045e6a2ec,,,ready_input_freeze,not_loaded,,,
PL006_EnvQuality_Q01_C,PL006_EnvQuality_Q01,C,63470d6e5c91f327841ba66323b13adbee9de1ab2fdb7b53b11419be2c9056d3,,05,0f25ae873f7e2ddebdaba7cbae36bdc362425128b246735171f6caf2335ed2e3,ready_input_freeze,v2.1_pr17_acceptance,,,
PL006_EnvQuality_Q01_D,PL006_EnvQuality_Q01,D,63470d6e5c91f327841ba66323b13adbee9de1ab2fdb7b53b11419be2c9056d3,190529f864dccb6fa6951a7271fb6f6966b91f3af726e2fddbe9e83045e6a2ec,05,0f25ae873f7e2ddebdaba7cbae36bdc362425128b246735171f6caf2335ed2e3,ready_input_freeze,v2.1_pr17_acceptance,,,
