rule_id,industry,element,project_type,rule_status,evidence_level,confidence,support_count,support_ratio,a_count,b_count,c_count,total
RULE_C2642_危废_新建,C2642,危废,新建,candidate_rule,C,0.3,2,1.0,0,0,2,2
RULE_C2642_噪声_新建,C2642,噪声,新建,candidate_rule,C,0.3,2,1.0,0,0,2,2
RULE_C2642_固废_新建,C2642,固废,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C2642_废气_新建,C2642,废气,新建,candidate_rule,C,0.3,2,0.67,0,0,3,3
RULE_C2642_废水_新建,C2642,废水,新建,case_observation,C,0.1,1,1.0,0,1,0,1
RULE_C2913_危废_扩建,C2913,危废,扩建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C2913_噪声_扩建,C2913,噪声,扩建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C2913_噪声_新建,C2913,噪声,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C2913_废气_扩建,C2913,废气,扩建,case_observation,B,0.7,1,0.25,0,4,0,4
RULE_C2913_废气_新建,C2913,废气,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C2913_废水_新建,C2913,废水,新建,case_observation,C,0.1,1,1.0,1,0,0,1
RULE_C2919_危废_新建,C2919,危废,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C2919_噪声_新建,C2919,噪声,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C2919_废气_新建,C2919,废气,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C2921_危废_新建,C2921,危废,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C2921_噪声_新建,C2921,噪声,新建,case_observation,C,0.3,1,0.5,0,0,2,2
RULE_C2921_废气_新建,C2921,废气,新建,candidate_rule,A,1.0,2,0.33,5,1,0,6
RULE_C2921_废水_新建,C2921,废水,新建,case_observation,C,0.1,1,1.0,0,1,0,1
RULE_C2922_危废_技改,C2922,危废,技改,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C2922_危废_新建,C2922,危废,新建,candidate_rule,C,0.3,2,1.0,0,0,2,2
RULE_C2922_噪声_技改,C2922,噪声,技改,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C2922_噪声_新建,C2922,噪声,新建,common_rule,C,0.3,4,1.0,0,0,4,4
RULE_C2922_固废_技改,C2922,固废,技改,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C2922_固废_新建,C2922,固废,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C2922_废气_技改,C2922,废气,技改,case_observation,C,0.1,1,1.0,1,0,0,1
RULE_C2922_废气_新建,C2922,废气,新建,common_rule,C,0.3,5,0.83,2,0,4,6
RULE_C2922_废水_技改,C2922,废水,技改,case_observation,C,0.1,1,1.0,1,0,0,1
RULE_C2922_废水_新建,C2922,废水,新建,common_rule,A,0.6,4,1.0,3,1,0,4
RULE_C2922_环境管理_新建,C2922,环境管理,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C2926_危废_扩建,C2926,危废,扩建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C2926_危废_新建,C2926,危废,新建,common_rule,C,0.3,3,1.0,0,0,3,3
RULE_C2926_噪声_新建,C2926,噪声,新建,common_rule,C,0.3,4,1.0,0,0,4,4
RULE_C2926_固废_扩建,C2926,固废,扩建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C2926_固废_新建,C2926,固废,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C2926_废气_扩建,C2926,废气,扩建,case_observation,C,0.1,1,1.0,1,0,0,1
RULE_C2926_废气_新建,C2926,废气,新建,common_rule,C,0.3,5,0.83,1,0,5,6
RULE_C2926_废水_扩建,C2926,废水,扩建,case_observation,C,0.1,1,1.0,1,0,0,1
RULE_C2926_废水_新建,C2926,废水,新建,common_rule,C,0.3,3,1.0,2,1,0,3
RULE_C2929_危废_扩建,C2929,危废,扩建,candidate_rule,C,0.3,2,1.0,1,0,1,2
RULE_C2929_危废_新建,C2929,危废,新建,common_rule,C,0.3,10,1.0,1,0,9,10
RULE_C2929_噪声_扩建,C2929,噪声,扩建,common_rule,A,0.8,5,0.71,4,0,3,7
RULE_C2929_噪声_新建,C2929,噪声,新建,common_rule,A,0.6,12,0.86,3,1,10,14
RULE_C2929_固废_扩建,C2929,固废,扩建,candidate_rule,C,0.3,2,1.0,1,1,0,2
RULE_C2929_固废_新建,C2929,固废,新建,common_rule,B,0.4,6,1.0,1,2,3,6
RULE_C2929_废气_扩建,C2929,废气,扩建,common_rule,C,0.3,5,0.62,0,0,8,8
RULE_C2929_废气_新建,C2929,废气,新建,common_rule,A,0.8,9,0.6,4,0,11,15
RULE_C2929_废气_迁建,C2929,废气,迁建,case_observation,C,0.1,1,1.0,1,0,0,1
RULE_C2929_废水_扩建,C2929,废水,扩建,strong_rule,A,0.6,6,1.0,3,3,0,6
RULE_C2929_废水_新建,C2929,废水,新建,strong_rule,A,1.0,9,1.0,6,2,1,9
RULE_C2929_废水_迁建,C2929,废水,迁建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C2929_总量_扩建,C2929,总量,扩建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C2929_环境管理_扩建,C2929,环境管理,扩建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C2929_环境管理_新建,C2929,环境管理,新建,common_rule,C,0.3,3,1.0,0,0,3,3
RULE_C3029_噪声_新建,C3029,噪声,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3029_废气_新建,C3029,废气,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3029_废水_新建,C3029,废水,新建,case_observation,C,0.1,1,1.0,0,1,0,1
RULE_C3059_危废_新建,C3059,危废,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3059_噪声_新建,C3059,噪声,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3059_固废_新建,C3059,固废,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3059_废气_新建,C3059,废气,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3059_废水_新建,C3059,废水,新建,case_observation,C,0.1,1,1.0,1,0,0,1
RULE_C3252_危废_扩建,C3252,危废,扩建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3252_废气_扩建,C3252,废气,扩建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3252_废水_扩建,C3252,废水,扩建,case_observation,C,0.1,1,1.0,1,0,0,1
RULE_C3311_危废_新建,C3311,危废,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3311_噪声_扩建,C3311,噪声,扩建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3311_噪声_新建,C3311,噪声,新建,candidate_rule,C,0.3,2,1.0,0,0,2,2
RULE_C3311_废气_扩建,C3311,废气,扩建,case_observation,C,0.3,1,0.5,0,0,2,2
RULE_C3311_废气_新建,C3311,废气,新建,candidate_rule,C,0.3,2,0.67,0,0,3,3
RULE_C3311_废水_新建,C3311,废水,新建,case_observation,C,0.1,1,1.0,1,0,0,1
RULE_C3352_危废_扩建,C3352,危废,扩建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3352_噪声_扩建,C3352,噪声,扩建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3352_废气_扩建,C3352,废气,扩建,case_observation,C,0.3,1,0.5,0,0,2,2
RULE_C3360_危废_扩建,C3360,危废,扩建,common_rule,C,0.3,3,1.0,0,0,3,3
RULE_C3360_危废_新建,C3360,危废,新建,common_rule,C,0.3,5,1.0,0,0,5,5
RULE_C3360_危废_迁建,C3360,危废,迁建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3360_噪声_扩建,C3360,噪声,扩建,common_rule,C,0.3,3,1.0,0,0,3,3
RULE_C3360_噪声_新建,C3360,噪声,新建,common_rule,C,0.3,5,1.0,0,0,5,5
RULE_C3360_固废_扩建,C3360,固废,扩建,common_rule,C,0.3,3,1.0,0,0,3,3
RULE_C3360_固废_新建,C3360,固废,新建,common_rule,C,0.3,5,1.0,0,0,5,5
RULE_C3360_固废_迁建,C3360,固废,迁建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3360_废气_扩建,C3360,废气,扩建,common_rule,C,0.3,3,1.0,0,0,3,3
RULE_C3360_废气_新建,C3360,废气,新建,strong_rule,A,1.0,7,0.54,5,3,5,13
RULE_C3360_废气_迁建,C3360,废气,迁建,case_observation,A,0.6,1,0.33,3,0,0,3
RULE_C3360_废水_扩建,C3360,废水,扩建,common_rule,A,0.6,3,1.0,3,0,0,3
RULE_C3360_废水_新建,C3360,废水,新建,common_rule,B,0.4,4,1.0,2,2,0,4
RULE_C3360_环境管理_新建,C3360,环境管理,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3360_环境管理_迁建,C3360,环境管理,迁建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3389_危废_扩建,C3389,危废,扩建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3389_噪声_扩建,C3389,噪声,扩建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3389_废气_扩建,C3389,废气,扩建,case_observation,C,0.3,1,0.33,0,0,3,3
RULE_C3392_危废_新建,C3392,危废,新建,common_rule,C,0.3,3,1.0,0,0,3,3
RULE_C3392_噪声_新建,C3392,噪声,新建,common_rule,C,0.3,3,1.0,0,0,3,3
RULE_C3392_固废_新建,C3392,固废,新建,candidate_rule,C,0.3,2,1.0,0,0,2,2
RULE_C3392_废气_新建,C3392,废气,新建,common_rule,C,0.3,3,0.5,0,0,6,6
RULE_C3392_废水_新建,C3392,废水,新建,candidate_rule,C,0.3,2,1.0,1,1,0,2
RULE_C3464_危废_新建,C3464,危废,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3464_噪声_新建,C3464,噪声,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3464_废气_新建,C3464,废气,新建,case_observation,C,0.3,1,0.5,0,0,2,2
RULE_C3483_噪声_扩建,C3483,噪声,扩建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3483_废水_扩建,C3483,废水,扩建,case_observation,C,0.1,1,1.0,1,0,0,1
RULE_C3489_危废_新建,C3489,危废,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3489_噪声_新建,C3489,噪声,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3489_固废_新建,C3489,固废,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3489_废气_新建,C3489,废气,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3489_废水_新建,C3489,废水,新建,case_observation,C,0.1,1,1.0,1,0,0,1
RULE_C3581_危废_新建,C3581,危废,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3581_噪声_新建,C3581,噪声,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3581_废气_新建,C3581,废气,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3670_噪声_扩建,C3670,噪声,扩建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3670_噪声_新建,C3670,噪声,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3670_废气_扩建,C3670,废气,扩建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3670_废气_新建,C3670,废气,新建,case_observation,C,0.1,1,1.0,1,0,0,1
RULE_C3670_废水_新建,C3670,废水,新建,case_observation,C,0.1,1,1.0,1,0,0,1
RULE_C3812_危废_迁建,C3812,危废,迁建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3812_噪声_迁建,C3812,噪声,迁建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3812_废气_迁建,C3812,废气,迁建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3819_噪声_新建,C3819,噪声,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3819_废气_新建,C3819,废气,新建,case_observation,C,0.3,1,0.33,0,0,3,3
RULE_C3821_危废_新建,C3821,危废,新建,candidate_rule,C,0.3,2,1.0,0,0,2,2
RULE_C3821_噪声_新建,C3821,噪声,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3821_固废_新建,C3821,固废,新建,candidate_rule,C,0.3,2,1.0,0,0,2,2
RULE_C3821_废气_新建,C3821,废气,新建,candidate_rule,C,0.3,2,1.0,0,0,2,2
RULE_C3821_废水_新建,C3821,废水,新建,candidate_rule,C,0.3,2,1.0,1,1,0,2
RULE_C3824_危废_新建,C3824,危废,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3824_噪声_新建,C3824,噪声,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3824_废气_新建,C3824,废气,新建,case_observation,C,0.3,1,0.2,0,0,5,5
RULE_C3856_噪声_新建,C3856,噪声,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3856_废气_新建,C3856,废气,新建,case_observation,C,0.1,1,1.0,1,0,0,1
RULE_C3856_废水_新建,C3856,废水,新建,case_observation,C,0.1,1,1.0,1,0,0,1
RULE_C3857_危废_新建,C3857,危废,新建,candidate_rule,C,0.3,2,1.0,0,0,2,2
RULE_C3857_噪声_新建,C3857,噪声,新建,common_rule,C,0.3,3,1.0,0,0,3,3
RULE_C3857_废气_新建,C3857,废气,新建,common_rule,A,0.6,4,0.5,3,3,2,8
RULE_C3857_废水_新建,C3857,废水,新建,common_rule,B,0.4,3,1.0,1,2,0,3
RULE_C3861_废气_扩建,C3861,废气,扩建,case_observation,C,0.3,1,0.33,0,0,3,3
RULE_C3872_噪声_新建,C3872,噪声,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3872_废气_新建,C3872,废气,新建,case_observation,B,0.7,1,0.17,0,6,0,6
RULE_C3872_废水_新建,C3872,废水,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3874_危废_新建,C3874,危废,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3874_噪声_新建,C3874,噪声,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3874_固废_新建,C3874,固废,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3874_废气_新建,C3874,废气,新建,case_observation,C,0.3,1,0.33,0,0,3,3
RULE_C3874_废水_新建,C3874,废水,新建,case_observation,C,0.1,1,1.0,0,1,0,1
RULE_C3979_噪声_新建,C3979,噪声,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_C3979_废气_新建,C3979,废气,新建,case_observation,C,0.1,1,1.0,1,0,0,1
RULE_C3979_废水_新建,C3979,废水,新建,case_observation,C,0.1,1,1.0,1,0,0,1
RULE_C3979_环境管理_新建,C3979,环境管理,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_O8222_噪声_新建,O8222,噪声,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_O8222_废气_新建,O8222,废气,新建,case_observation,C,0.1,1,1.0,0,0,1,1
RULE_O8222_废水_新建,O8222,废水,新建,case_observation,C,0.1,1,1.0,0,1,0,1
