source_id,title,eligible,parent_chunk_count,child_chunk_count,source_sha256,source_file
HJ_2025_2012,HJ,True,20,24,dacc01b1edee7ff361a28fb568fe10a62e42822a33db9935f1c32ce9f65bdd41,HJ_2025-2012.md
HJ_2026_2013,中华人民共和国国家环境保护标准,True,55,58,01d9fa19492b3f2e3b0f896e14d1f8a0b7e32cd994646f0d575761c7d7e74c43,HJ_2026-2013.md
HJ_819_2017,中华人民共和国国家环境保护标准,True,77,78,c37b68977bda2e08a1d050e4d4a71cee4d745686cc195b039cf8863114ffecf5,HJ_819-2017.md
HJ_884_2018,中华人民共和国国家环境保护标准,True,27,38,71f1aed58188492e4206282edefd5181e653b0f077510bb0d73f4a06f0ad34e3,HJ_884-2018.md
HJ_942,DB44广 东 省 地 方 标 准,True,52,52,7f2d180b0a0e630e34d3341d15f4d60ed345b4c5d35819b4afb610d48c5971ac,HJ_942.md
NATIONAL_ECONOMIC_CLASSIFICATION,[,True,1,517,43615c845a23ce9b453e458863cb621bc97af41363878c1860e89619b3e5ea68,national_economic_classification.json
PLASTIC_RUBBER_CLASSIFICATION,塑料/橡胶相关国民经济行业分类校验说明,True,6,6,758827ee6d34940c4161258b707316f9d8387a605de200dea16defa79da029c2,plastic_rubber_industry_classification_checked.md
THREE_LINES_ONE_LIST,[,True,1,447,bf5e0d29d5a63e84bf7d343258b39dbc772661aef84eaf8686bce6e80c56e966,三线一单_全部管控单元表格.json
THREE_LINES_ONE_LIST,[,True,1,3,7f2a9c53859129eab7b4899761f36c1ea975d333dd290aba8c15430f8e3c74f4,三线一单_顺德管控单元.json
THREE_LINES_ONE_LIST,[,True,1,120,1a2c51696bb266e46db1771666df7b4626151401aae9f6662ea50fdf4e02a8fd,三线一单_顺德管控单元_完整.json
THREE_LINES_ONE_LIST,[,True,1,3,090c734216db3dc5bb1702d6594763e96dce5725ab4188bb0f501fb8f6f94ad3,三线一单_顺德管控单元准入清单.json
THREE_LINES_ONE_LIST,佛山市顺德区环境管控单元准入清单,True,27,52,dc1e980bdbcf2d397232e14755c43eeb6c551af4adadae73e24c0e14928a4d7a,三线一单_顺德管控单元准入清单.md
