序号与项目,检查点,原文关键词,解析关键词,原文短证据,解析短证据,Codex预检,人工结论,人工意见
002_佛山市顺德区启卓工程塑料实业有限公司搬迁项目_01_核查材料,项目基本情况,建设项目名称、建设地点、总投资,建设项目名称、建设地点、总投资,后通告》 一、建设项目基本情况 建设项目名称 | 佛山市顺德区启卓工程塑料实业有限公司搬迁项目 项目代码 | 无 建设单位联系人 | 何培图 | 联系方,告》 一、建设项目基本情况 | 建设项目名称 | | 佛山市顺德区启卓工程塑料实业有限公司搬迁项目 | | 项目代码 | | 无 | | 建设单位联系人,关键词已对应，待人工核验数值与字段归属,,
002_佛山市顺德区启卓工程塑料实业有限公司搬迁项目_01_核查材料,产品与产量,主要产品、年产,主要产品、年产,m2，主要从事废旧塑料粒的生产，年产废旧塑料粒（PE、PP）1500吨，已于2005年已取得环保批准证（编号：20051004）。于2016年变更法人及,m2，主要从事废旧塑料粒的生产，年产废旧塑料粒（PE、PP）1500吨，已于2005年已取得环保批准证（编号：20051004）。 于2016年变更法人,关键词已对应，待人工核验数值与字段归属,,
002_佛山市顺德区启卓工程塑料实业有限公司搬迁项目_01_核查材料,原辅材料,主要原辅材料、原辅材料,主要原辅材料、原辅材料,限制新建生产和使用高挥发性有机物原辅材料的项目，鼓励建设挥发性有机物共性工厂。本项目使用的VOCs原材料为塑料新粒料（PP、PC、PA、PPT、PET）,限制新建生产和使用高挥发性有机物原辅材料的项目，鼓励建设挥发性有机物共性工厂。本项目使用的VOCs原材料为塑料新粒料（PP、PC、PA、PPT、PET）,关键词已对应，待人工核验数值与字段归属,,
002_佛山市顺德区启卓工程塑料实业有限公司搬迁项目_01_核查材料,生产设备,设备名称、生产设施,设备名称、生产设施,、注塑、排放恶臭气味的生产工艺和生产设施。本项目500m范围内无环境敏感点。符合10.结合《顺德区高质量推动村级工业园升级改造总体规划》，推进区域村级工,、注塑、排放恶臭气味的生产工艺和生产设施。本项目500m范围内无环境敏感点。符合10.结合《顺德区高质量推动村级工业园升级改造总体规划》，推进区域村级工,关键词已对应，待人工核验数值与字段归属,,
002_佛山市顺德区启卓工程塑料实业有限公司搬迁项目_01_核查材料,工艺与产污,工艺流程、生产工艺、产污环节,工艺流程、生产工艺、产污环节,酸洗、涂装、注塑、排放恶臭气味的生产工艺和生产设施。本项目500m范围内无环境敏感点。符合10.结合《顺德区高质量推动村级工业园升级改造总体规划》，推进,酸洗、涂装、注塑、排放恶臭气味的生产工艺和生产设施。本项目500m范围内无环境敏感点。符合10.结合《顺德区高质量推动村级工业园升级改造总体规划》，推进,关键词已对应，待人工核验数值与字段归属,,
002_佛山市顺德区启卓工程塑料实业有限公司搬迁项目_01_核查材料,源强与定量核算,污染源强、产生量、排放量,污染源强、产生量、排放量,废水处理需求的区域，不应引入废水排放量较大的项目。扩区南片区在纳污水体水质稳定达标前，应合理控制涉水排放企业规模，优先引入无生产废水或生产废水排放量较小,废水处理需求的区域，不应引入废水排放量较大的项目。扩区南片区在纳污水体水质稳定达标前，应合理控制涉水排放企业规模，优先引入无生产废水或生产废水排放量较小,关键词已对应，待人工核验数值与字段归属,,
002_佛山市顺德区启卓工程塑料实业有限公司搬迁项目_01_核查材料,废气治理,废气治理、废气收集、活性炭,废气治理、废气收集、活性炭,控制要求，以及VOCs无组织排放废气收集处理系统要求执行《挥发性有机物无组织排放控制标准》（GB37822-2019）要求，厂区内VOCs无组织排放监控,控制要求，以及VOCs无组织排放废气收集处理系统要求执行《挥发性有机物无组织排放控制标准》（GB37822-2019）要求，厂区内VOCs无组织排放监控,关键词已对应，待人工核验数值与字段归属,,
002_佛山市顺德区启卓工程塑料实业有限公司搬迁项目_01_核查材料,固废与危险废物,危险废物、固体废物、危废暂存,危险废物、固体废物、危废暂存,废处理方式资质佐证材料。项目建立危险废物台账，定期将废机油、含油废抹布、废含油桶罐、废活性炭等危险废物交给有资质的单位处理，整理危废处理合同、转移联单等,废处理方式资质佐证材料。项目建立危险废物台账，定期将废机油、含油废抹布、废含油桶罐、废活性炭等危险废物交给有资质的单位处理，整理危废处理合同、转移联单等,关键词已对应，待人工核验数值与字段归属,,
002_佛山市顺德区启卓工程塑料实业有限公司搬迁项目_01_核查材料,总量与执行标准,总量控制、总量指标、执行标准,总量控制、总量指标、执行标准,、氮氧化物及挥发性有机物等）实施总量控制；上年度重点河涌水质未达到水环境质量目标的管控分区所在镇（街道），须组织编制、系统实施、向社会公开区域重点水污染,、氮氧化物及挥发性有机物等）实施总量控制；上年度重点河涌水质未达到水环境质量目标的管控分区所在镇（街道），须组织编制、系统实施、向社会公开区域重点水污染,关键词已对应，待人工核验数值与字段归属,,
002_佛山市顺德区启卓工程塑料实业有限公司搬迁项目_01_核查材料,监督检查清单,环境保护措施监督检查清单、监督检查清单,环境保护措施监督检查清单、监督检查清单,要环境影响和保护措施 49 五、环境保护措施监督检查清单 76 六、结论 78 附件1：项目营业执照 附件2：法人身份证 附件3：原环评批准证 附件4：,主要环境影响和保护措施49 五、环境保护措施监督检查清单76 六、结论78 附件1：项目营业执照 附件2：法人身份证 附件3：原环评批准证 附件4：原项,关键词已对应，待人工核验数值与字段归属,,
003_佛山市顺德区康明新材料厂新建项目_01_核查材料,项目基本情况,建设项目名称、建设地点、总投资,建设项目名称、建设地点、总投资,环境部制 一、建设项目基本情况 建设项目名称 | 佛山市顺德区康明新材料厂新建项目 项目代码 | 无 建设单位联系人 | 周颖欣 | 联系方式 | 13,环境部制 一、建设项目基本情况 建设项目名称 佛山市顺德区康明新材料厂新建项目 项目代码 无 建设单位联系人 周颖欣 联系方式 13726674903 ,关键词已对应，待人工核验数值与字段归属,,
003_佛山市顺德区康明新材料厂新建项目_01_核查材料,产品与产量,产品方案、主要产品、产品名称,产品方案、主要产品、产品名称,0m2，从事塑料薄膜的加工生产，年产塑料薄膜242.368吨，主要用作保护膜用途。现申请办理相关环保手续。表2-1 项目所属行业分析表行业类别类别项目情,0m2，从事塑料薄膜的加工生产，年产塑料薄膜242.368吨，主要用作保护膜用途。现申请办理相关环保手续。表2-1 项目所属行业分析表行业类别类别项目情,关键词已对应，待人工核验数值与字段归属,,
003_佛山市顺德区康明新材料厂新建项目_01_核查材料,原辅材料,主要原辅材料、原辅材料、原料名称,主要原辅材料、原辅材料、原料名称,、清洗剂、胶黏剂等高挥发性有机物原辅材料的项目；鼓励现有该类项目逐步搬迁退出。本项目主要从事塑料薄膜的加工生产，不属于文件中提及的严格限制类项目；项目不,、清洗剂、胶黏剂等高挥发性有机物原辅材料的项目； 鼓励现有该类项目逐步搬迁退出。 本项目主要从事塑料薄膜的加工生产，不属于文件中提及的严格限制类项目； ,关键词已对应，待人工核验数值与字段归属,,
003_佛山市顺德区康明新材料厂新建项目_01_核查材料,生产设备,主要生产设备、设备名称、生产设施,主要生产设备、设备名称、生产设施,）第 II 时段排放限值；车间或生产设施排气中 NMHC 初始排放速率≥3kg/h 时，建设末端治污设施且处理效率≥80%；b）厂区内无组织排 放监控点,第 II 时段排放限值； 车间或生产设施排气中 NMHC 初始排放速率≥3kg/h 时，建设末端治污设施且处理效率≥80%； b）厂区内无组织排 放监控,关键词已对应，待人工核验数值与字段归属,,
003_佛山市顺德区康明新材料厂新建项目_01_核查材料,工艺与产污,工艺流程、生产工艺、产污环节,工艺流程、生产工艺、产污环节,料替代，加快涉VOCs重点行业的生产工艺升级改造，推行自动化生产工艺，对达不到要求的VOCs收集及治理设施进行整治提升，逐步淘汰低效VOCs治理设施。 ,料替代，加快涉VOCs重点行业的生产工艺升级改造，推行自动化生产工艺，对达不到要求的VOCs收集及治理设施进行整治提升，逐步淘汰低效VOCs治理设施。 ,关键词已对应，待人工核验数值与字段归属,,
003_佛山市顺德区康明新材料厂新建项目_01_核查材料,源强与定量核算,污染源强、产生量、排放量,污染源强、产生量、排放量,、市生态环境主管部门对VOCs 排放量大于300 公斤/年的新、改、扩建项目，进行总量替代，按照附表1 填报VOCs指标来源说明。其他排放量规模需要总量,、市生态环境主管部门对VOCs 排放量大于300 公斤/年的新、改、扩建项目，进行总量替代，按照附表1 填报VOCs指标来源说明。 其他排放量规模需要总,关键词已对应，待人工核验数值与字段归属,,
003_佛山市顺德区康明新材料厂新建项目_01_核查材料,废气治理,废气治理、废气收集、活性炭,废气治理、废气收集、活性炭,涂布工序产生的废气经收集利用二级活性炭吸附装置处理后通过15m排气筒高空排放，通过废气收集和处理措施能减少项目挥发性有机物的无组织排放；生活污水预处理达,涂布工序产生的废气经收集利用二级活性炭吸附装置处理后通过15m排气筒高空排放，通过废气收集和处理措施能减少项目挥发性有机物的无组织排放； 生活污水预处理,关键词已对应，待人工核验数值与字段归属,,
003_佛山市顺德区康明新材料厂新建项目_01_核查材料,固废与危险废物,危险废物、固体废物、危废暂存,危险废物、固体废物、危废暂存,区环境风险防控区域。本项目产生的危险废物拟定期委托有资质的处置公司进行收集处理，并通过信息系统登记转移计划和电子转移联单，符合危险废物全过程跟踪管理的防,环境风险防控区域。 本项目产生的危险废物拟定期委托有资质的处置公司进行收集处理，并通过信息系统登记转移计划和电子转移联单，符合危险废物全过程跟踪管理的防,关键词已对应，待人工核验数值与字段归属,,
003_佛山市顺德区康明新材料厂新建项目_01_核查材料,总量与执行标准,总量控制、总量指标、执行标准,总量控制、总量指标、执行标准,砖厂农村生活污水处理站处理。项目总量指标由佛山市生态环境局顺德分局分配，符合污染物排放管控要求。4）环境风险防控要求项目不属于石化、化工重点园区环境风险,厂农村生活污水处理站处理。 项目总量指标由佛山市生态环境局顺德分局分配，符合污染物排放管控要求。 4）环境风险防控要求项目不属于石化、化工重点园区环境风,关键词已对应，待人工核验数值与字段归属,,
003_佛山市顺德区康明新材料厂新建项目_01_核查材料,监督检查清单,环境保护措施监督检查清单、监督检查清单,环境保护措施监督检查清单、监督检查清单,不需开展电磁辐射影响评价。 五、环境保护措施监督检查清单 内容要素 | 排放口（编号、名称）/污染源 | 污染物项目 | 环境保护措施 | 执行标准 大,成影响 原料堆放区、生产区 五、环境保护措施监督检查清单 | 内容要素 | | 排放口（编号、名称）/污染源 | | 污染物项目 | | 环境保护措施 ,关键词已对应，待人工核验数值与字段归属,,
004_恒励新材料科技(佛山)有限公司新建项目_01_核查材料,项目基本情况,建设项目名称、建设地点、总投资,建设项目名称、建设地点、总投资,批后公告 一、建设项目基本情况 建设项目名称 | 恒励新材料科技(佛山)有限公司新建项目 项目代码 | 无 建设单位联系人 | 伍尚仁 | 联系方式 |,公告 一、建设项目基本情况 | 建设项目名称 | | 恒励新材料科技(佛山)有限公司新建项目 | | 项目代码 | | 无 | | 建设单位联系人 | ,关键词已对应，待人工核验数值与字段归属,,
004_恒励新材料科技(佛山)有限公司新建项目_01_核查材料,产品与产量,主要产品、年产,主要产品、年产,性SEBS塑料的生产，预计投产后年产改性SEBS塑料720吨。根据《建设项目环境影响评价分类管理名录（2021年版）》，本次项目属于“二十六、橡胶和塑料,性SEBS塑料的生产，预计投产后年产改性SEBS塑料720吨。根据《建设项目环境影响评价分类管理名录（2021年版）》，本次项目属于“二十六、橡胶和塑料,关键词已对应，待人工核验数值与字段归属,,
004_恒励新材料科技(佛山)有限公司新建项目_01_核查材料,原辅材料,主要原辅材料、原辅材料,主要原辅材料、原辅材料,限制新建生产和使用高挥发性有机物原辅材料的项目，鼓励建设挥发性有机物共性工厂。 本项目使用塑料原辅材料均为新料，不涉及废旧塑料。符合 8、工业企业禁止选,限制新建生产和使用高挥发性有机物原辅材料的项目，鼓励建设挥发性有机物共性工厂。本项目使用塑料原辅材料均为新料，不涉及废旧塑料。符合8、工业企业禁止选址城,关键词已对应，待人工核验数值与字段归属,,
004_恒励新材料科技(佛山)有限公司新建项目_01_核查材料,生产设备,设备名称、生产设施,设备名称、生产设施,、注塑、排放恶臭气味的生产工艺和生产设施。 本项目50m及100m内均无规划居住区、学校、医院等敏感用地；且不涉及“高污染、高环境风险”产品类别。符合 ,、注塑、排放恶臭气味的生产工艺和生产设施。本项目50m及100m内均无规划居住区、学校、医院等敏感用地；且不涉及“高污染、高环境风险”产品类别。符合10,关键词已对应，待人工核验数值与字段归属,,
004_恒励新材料科技(佛山)有限公司新建项目_01_核查材料,工艺与产污,工艺流程、生产工艺、产污环节,工艺流程、生产工艺、产污环节,酸洗、涂装、注塑、排放恶臭气味的生产工艺和生产设施。 本项目50m及100m内均无规划居住区、学校、医院等敏感用地；且不涉及“高污染、高环境风险”产品类,酸洗、涂装、注塑、排放恶臭气味的生产工艺和生产设施。本项目50m及100m内均无规划居住区、学校、医院等敏感用地；且不涉及“高污染、高环境风险”产品类别,关键词已对应，待人工核验数值与字段归属,,
004_恒励新材料科技(佛山)有限公司新建项目_01_核查材料,源强与定量核算,产生量、排放量、收集效率,产生量、排放量、收集效率,废水处理需求的区域，不应引入废水排放量较大的项目。扩区南片区在纳污水体水质稳定达标前，应合理控制涉水排放企业规模，优先引入无生产废水或生产废水排放量较小,废水处理需求的区域，不应引入废水排放量较大的项目。扩区南片区在纳污水体水质稳定达标前，应合理控制涉水排放企业规模，优先引入无生产废水或生产废水排放量较小,关键词已对应，待人工核验数值与字段归属,,
004_恒励新材料科技(佛山)有限公司新建项目_01_核查材料,废气治理,废气治理、废气收集、活性炭,废气治理、废气收集、活性炭,要求，以及 VOCs 无组织排放废气收集处理系统要求执行《挥发性有机物无组织排放控制标准》(GB37822-2019)要求，厂区内VOCs无组织排放监控,要求，以及 VOCs 无组织排放废气收集处理系统要求执行《挥发性有机物无组织排放控制标准》(GB37822-2019)要求，厂区内VOCs无组织排放监控,关键词已对应，待人工核验数值与字段归属,,
004_恒励新材料科技(佛山)有限公司新建项目_01_核查材料,固废与危险废物,危险废物、固体废物、危废暂存,危险废物、固体废物、危废暂存,废处理方式资质佐证材料。项目建立危险废物台账，定期将废机油、含油废抹布、废含油桶罐、废活性炭等危险废物交给有资质的单位处理，整理危废处理合同、转移联单等,处理方式资质佐证材料。 项目建立危险废物台账，定期将废机油、含油废抹布、废含油桶罐、废活性炭等危险废物交给有资质的单位处理，整理危废处理合同、转移联单等,关键词已对应，待人工核验数值与字段归属,,
004_恒励新材料科技(佛山)有限公司新建项目_01_核查材料,总量与执行标准,总量控制、总量指标、执行标准,总量控制、总量指标、执行标准,、氮氧化物及挥发性有机物等)实施总量控制；上年度重点河涌水质未达到水环境质量目标的管控分区所在镇(街道)，须组织编制、系统实施、向社会公开区域重点水污染,、氮氧化物及挥发性有机物等)实施总量控制；上年度重点河涌水质未达到水环境质量目标的管控分区所在镇(街道)，须组织编制、系统实施、向社会公开区域重点水污染,关键词已对应，待人工核验数值与字段归属,,
004_恒励新材料科技(佛山)有限公司新建项目_01_核查材料,监督检查清单,环境保护措施监督检查清单、监督检查清单,环境保护措施监督检查清单、监督检查清单,要环境影响和保护措施 44 五、环境保护措施监督检查清单 71 六、结论 74 附件1：项目营业执照 附件2：法人身份证 附件3：租赁合同及经营场所证明,主要环境影响和保护措施44 五、环境保护措施监督检查清单71 六、结论74 附件1：项目营业执照 附件2：法人身份证 附件3：租赁合同及经营场所证明 附,关键词已对应，待人工核验数值与字段归属,,
005_佛山市润特龙清洁用品有限公司新建项目_01_核查材料,项目基本情况,建设项目名称、建设地点、总投资,建设项目名称、建设地点、总投资,目 录 一、建设项目基本情况 建设项目名称 | 佛山市润特龙清洁用品有限公司新建项目 项目代码 | 无 建设单位联系人 | 倪秋喜 | 联系方式 | 1,目 录 一、建设项目基本情况 建设项目名称 佛山市润特龙清洁用品有限公司新建项目 项目代码 无 建设单位联系人 倪秋喜 联系方式 18988506481,关键词已对应，待人工核验数值与字段归属,,
005_佛山市润特龙清洁用品有限公司新建项目_01_核查材料,产品与产量,产品方案、主要产品、年产,产品方案、主要产品、年产,函〔2020〕16号）》，本项目主要产品不属于一、禁止生产、销售的塑料制品，二、禁止、限制使用的塑料制品。4、与广东省、佛山市、顺德区“三线一单”生态环,函〔2020〕16号）》，本项目主要产品不属于一、禁止生产、销售的塑料制品，二、禁止、限制使用的塑料制品。 4、与广东省、佛山市、顺德区“三线一单”生态,关键词已对应，待人工核验数值与字段归属,,
005_佛山市润特龙清洁用品有限公司新建项目_01_核查材料,原辅材料,主要原辅材料、原辅材料,主要原辅材料、原辅材料,限制新建生产和使用高挥发性有机物原辅材料的项目，鼓励建设挥发性有机物共性工厂。8、工业企业禁止选址城镇生活空间，生产空间禁止建设居民住宅等敏感建筑；园区,限制新建生产和使用高挥发性有机物原辅材料的项目，鼓励建设挥发性有机物共性工厂。 8、工业企业禁止选址城镇生活空间，生产空间禁止建设居民住宅等敏感建筑； ,关键词已对应，待人工核验数值与字段归属,,
005_佛山市润特龙清洁用品有限公司新建项目_01_核查材料,生产设备,设备名称、生产设施、设备一览,设备名称、生产设施、设备一览,、注塑、排放恶臭气味的生产工艺和生产设施。10、结合《顺德区高质量推动村级工业园升级改造总体规划》，推进区域村级工业园改造工作，禁止重复低水平建设。1、,、注塑、排放恶臭气味的生产工艺和生产设施。 10、结合《顺德区高质量推动村级工业园升级改造总体规划》，推进区域村级工业园改造工作，禁止重复低水平建设。 ,关键词已对应，待人工核验数值与字段归属,,
005_佛山市润特龙清洁用品有限公司新建项目_01_核查材料,工艺与产污,工艺流程、生产工艺、产污环节,工艺流程、生产工艺、产污环节,酸洗、涂装、注塑、排放恶臭气味的生产工艺和生产设施。10、结合《顺德区高质量推动村级工业园升级改造总体规划》，推进区域村级工业园改造工作，禁止重复低水平,酸洗、涂装、注塑、排放恶臭气味的生产工艺和生产设施。 10、结合《顺德区高质量推动村级工业园升级改造总体规划》，推进区域村级工业园改造工作，禁止重复低水,关键词已对应，待人工核验数值与字段归属,,
005_佛山市润特龙清洁用品有限公司新建项目_01_核查材料,源强与定量核算,污染源强、产生量、排放量,污染源强、产生量、排放量,废水处理需求的区域，不应引入废水排放量较大的项目。扩区 应控制废水排放量较大企业的引入，引入涉水排放企业的规模应与区域污水处理厂处理能力相匹配，严格控制,废水处理需求的区域，不应引入废水排放量较大的项目。 扩区 应控制废水排放量较大企业的引入，引入涉水排放企业的规模应与区域污水处理厂处理能力相匹配，严格控,关键词已对应，待人工核验数值与字段归属,,
005_佛山市润特龙清洁用品有限公司新建项目_01_核查材料,废气治理,废气治理、废气收集、活性炭,废气治理、废气收集、活性炭,废气集气罩+帘幕收集至一套“二级活性炭吸附”装置处理达标后再通过 15m 高排气筒排放。厂区内VOCs无组织排放监控点浓度符合《固定污染源挥发性有机物综,废气集气罩+帘幕收集至一套“二级活性炭吸附”装置处理达标后再通过 15m 高排气筒排放。 厂区内VOCs无组织排放监控点浓度符合《固定污染源挥发性有机物,关键词已对应，待人工核验数值与字段归属,,
005_佛山市润特龙清洁用品有限公司新建项目_01_核查材料,固废与危险废物,危险废物、固体废物、危废暂存,危险废物、固体废物、危废暂存,境风险防控。项目设置化学品仓库、危险废物暂存间；对于废气处理系统发生故障的情况，应立即停止相关生产环节，避免废气不经处理直接排到大气中，并立即请有关技术,风险防控。 项目设置化学品仓库、危险废物暂存间； 对于废气处理系统发生故障的情况，应立即停止相关生产环节，避免废气不经处理直接排到大气中，并立即请有关技,关键词已对应，待人工核验数值与字段归属,,
005_佛山市润特龙清洁用品有限公司新建项目_01_核查材料,总量与执行标准,总量控制、总量指标、执行标准,总量控制、总量指标、执行标准,、氮氧化物及挥发性有机物等）实施总量控制；上年度重点河涌水质未达到水环境质量目标的管控分区所在镇（街道），须组织编制、系统实施、向社会公开区域重点水污染,、氮氧化物及挥发性有机物等）实施总量控制； 上年度重点河涌水质未达到水环境质量目标的管控分区所在镇（街道），须组织编制、系统实施、向社会公开区域重点水污,关键词已对应，待人工核验数值与字段归属,,
005_佛山市润特龙清洁用品有限公司新建项目_01_核查材料,监督检查清单,环境保护措施监督检查清单、监督检查清单,环境保护措施监督检查清单、监督检查清单,的范围内。8.电磁辐射无。 五、环境保护措施监督检查清单 内容要素 | 排放口(编号、名称)/污染源 | 污染物项目 | 环境保护措施 | 执行标准 大,的定期检查和保养维修。 | 五、环境保护措施监督检查清单 | 内容要素 | | 排放口(编号、名称)/污染源 | | 污染物项目 | | 环境保护措施 ,关键词已对应，待人工核验数值与字段归属,,
006_佛山市顺德区乐鲸科技有限公司年产五金拉手300万个新建项目_01_修改评估意见,项目基本情况,,,,,原文未自动定位，待人工确认,,
006_佛山市顺德区乐鲸科技有限公司年产五金拉手300万个新建项目_01_修改评估意见,产品与产量,,,,,原文未自动定位，待人工确认,,
006_佛山市顺德区乐鲸科技有限公司年产五金拉手300万个新建项目_01_修改评估意见,原辅材料,原辅材料,原辅材料,3、P54，核实废包装桶重量（按原辅材料表核算，项目约产生废包装桶195个）； 4.P39，核实表4-5中无组织排放量。 5.P42，完善非正常工况下的,3、P54，核实废包装桶重量（按原辅材料表核算，项目约产生废包装桶195个）； 4.P39，核实表4-5中无组织排放量。 5.P42，完善非正常工况下的,关键词已对应，待人工核验数值与字段归属,,
006_佛山市顺德区乐鲸科技有限公司年产五金拉手300万个新建项目_01_修改评估意见,生产设备,,,,,原文未自动定位，待人工确认,,
006_佛山市顺德区乐鲸科技有限公司年产五金拉手300万个新建项目_01_修改评估意见,工艺与产污,,,,,原文未自动定位，待人工确认,,
006_佛山市顺德区乐鲸科技有限公司年产五金拉手300万个新建项目_01_修改评估意见,源强与定量核算,排放量,排放量,4.P39，核实表4-5中无组织排放量。 5.P42，完善非正常工况下的达标分析。 6.《B2、建设项目基础信息表》中有内容未更新。,4.P39，核实表4-5中无组织排放量。 5.P42，完善非正常工况下的达标分析。 6.《B2、建设项目基础信息表》中有内容未更新。,关键词已对应，待人工核验数值与字段归属,,
006_佛山市顺德区乐鲸科技有限公司年产五金拉手300万个新建项目_01_修改评估意见,废气治理,,,,,原文未自动定位，待人工确认,,
006_佛山市顺德区乐鲸科技有限公司年产五金拉手300万个新建项目_01_修改评估意见,固废与危险废物,,,,,原文未自动定位，待人工确认,,
006_佛山市顺德区乐鲸科技有限公司年产五金拉手300万个新建项目_01_修改评估意见,总量与执行标准,,,,,原文未自动定位，待人工确认,,
006_佛山市顺德区乐鲸科技有限公司年产五金拉手300万个新建项目_01_修改评估意见,监督检查清单,,,,,原文未自动定位，待人工确认,,
007_广东云晟新材料有限公司年产水性涂料2400吨新建项目_01_修改评估意见,项目基本情况,,,,,原文未自动定位，待人工确认,,
007_广东云晟新材料有限公司年产水性涂料2400吨新建项目_01_修改评估意见,产品与产量,,,,,原文未自动定位，待人工确认,,
